DOI,Year,Title,Abstract Note,Ekaterina's evaluation,Danial's evaluation
10.3390/su142316307,2022,DCKT: A Novel Dual-Centric Learning Model for Knowledge Tracing,"Knowledge tracing (KT), aiming to model learners' mastery of a concept based on their historical learning records, has received extensive attention due to its great potential in realizing personalized learning in intelligent tutoring systems. However, most existing KT methods focus on a single aspect of knowledge or learner, not paying careful attention to the coupling influence of knowledge and learner characteristics. To fill this gap, in this paper, we explore a new paradigm for the KT task by exploiting the coupling influence of knowledge and learner. A novel model called Dual-Centric Knowledge Tracing (DCKT) is proposed to model knowledge states through two joint tasks of knowledge modeling and learner modeling. In particular, we first generate concept embeddings in abundant knowledge structure information via a pretext task (knowledge-centric): unsupervised graph representation learning. Then, we deeply measure learners' prior knowledge the knowledge-enhanced representations and three predefined educational priors for discriminative feature enhancement. Furthermore, we design a forgetting-fusion transformer (learner-centric) to simulate the declining trend of learners' knowledge proficiency over time, representing the common forgetting phenomenon. Extensive experiments were conducted on four public datasets, and the results demonstrate that DCKT could achieve better knowledge tracing results over all datasets via a dual-centric modeling process. Additionally, DCKT can learn meaningful question embeddings automatically without manual annotations. Our work indicates a potential future research direction for personalized learner modeling, which is of both accuracy and high interpretability.",1,
10.1145/3569576,2023,Knowledge Tracing: A survey,"Humans' ability to transfer knowledge through teaching is one of the essential aspects for human intelligence. A human teacher can track the knowledge of students to customize the teaching on students' needs. With the rise of online education platforms, there is a similar need for machines to track the knowledge of students and tailor their learning experience. This is known as the Knowledge Tracing (KT) problem in the literature. Effectively solving the KT problem would unlock the potential of computer-aided education applications such as intelligent tutoring systems, curriculum learning, and learning materials' recommendation. Moreover, from a more general viewpoint, a student may represent any kind of intelligent agents including both human and artificial agents. Thus, the potential of KT can be extended to any machine teaching application scenarios which seek for customizing the learning experience for a student agent (i.e., a machine learning model). In this paper, we provide a comprehensive survey for the KT literature. We cover a broad range of methods starting from the early attempts to the recent state-of-the-art methods using deep learning, while highlighting the theoretical aspects of models and the characteristics of benchmark datasets. Besides these, we shed light on key modelling differences between closely related methods and summarize them in an easy-to-understand format. Finally, we discuss current research gaps in the KT literature and possible future research and application directions.",0,0
10.1007/s11704-023-3008-x,2024,A probabilistic generative model for tracking multi-knowledge concept mastery probability,"Knowledge tracing aims to track students' knowledge status over time to predict students' future performance accurately. In a real environment, teachers expect knowledge tracing models to provide the interpretable result of knowledge status. Markov chain-based knowledge tracing (MCKT) models, such as Bayesian Knowledge Tracing, can track knowledge concept mastery probability over time. However, as the number of tracked knowledge concepts increases, the time complexity of MCKT predicting student performance increases exponentially (also called explaining away problem). When the number of tracked knowledge concepts is large, we cannot utilize MCKT to track knowledge concept mastery probability over time. In addition, the existing MCKT models only consider the relationship between students' knowledge status and problems when modeling students' responses but ignore the relationship between knowledge concepts in the same problem. To address these challenges, we propose an inTerpretable pRobAbilistiC gEnerative moDel (TRACED), which can track students' numerous knowledge concepts mastery probabilities over time. To solve explain away problem, we design long and short-term memory (LSTM)-based networks to approximate the posterior distribution, predict students' future performance, and propose a heuristic algorithm to train LSTMs and probabilistic graphical model jointly. To better model students' exercise responses, we proposed a logarithmic linear model with three interactive strategies, which models students' exercise responses by considering the relationship among students' knowledge status, knowledge concept, and problems. We conduct experiments with four real-world datasets in three knowledge-driven tasks. The experimental results show that TRACED outperforms existing knowledge tracing methods in predicting students' future performance and can learn the relationship among students, knowledge concepts, and problems from students' exercise sequences. We also conduct several case studies. The case studies show that TRACED exhibits excellent interpretability and thus has the potential for personalized automatic feedback in the real-world educational environment.",1,
10.1109/TLT.2024.3403135,2024,Design and evaluation of Trustworthy Knowledge Tracing Model for Intelligent Tutoring System,"Amid the rapid evolution of artificial intelligence (AI), the intricate model structures and opaque decision-making processes of AI-based systems have raised the trustworthy issues in education. We, therefore, first propose a novel three-layer knowledge tracing model designed to address trustworthiness for an intelligent tutoring system. Each layer is crafted to tackle a specific challenge: transparency, explainability, and accountability. We have introduced an explainable AI (xAI) approach to offer technical interpreting information, validated by the established educational theories and principles. The validated interpreting information is subsequently transitioned from its technical context into educational insights, which are then incorporated into the newly designed user interface. Our evaluations indicate that an intelligent tutoring system, when equipped with the designed trustworthy knowledge tracing model, significantly enhances user trust and knowledge from the perspectives of both teachers and students. This study, thus, contributes a tangible solution that utilizes the xAI approach as the enabling technology to construct trustworthy systems or tools in education.",1,
10.1007/978-3-030-62005-9_22,2020,ADKT: Adaptive Deep Knowledge Tracing,"Deep Learning based Knowledge Tracing (DLKT) has been shown to outperform other methods due to its strong representational ability. However, DLKT models usually exist a common flaw that all learners share the same model with identical network parameters and hyper-parameters. The drawback of doing so is that the learned knowledge state for each learner is only affected by the specific learning sequence, but less reflect the personalized learning style for each learner. To tackle this problem, we proposes a novel framework, called Adaptive Deep Knowledge Tracing (ADKT), to directly introduce personalization into DLKT. The ADKT framework tries to retrain an adaptive model for each learner based on a pre-trained DLKT model and trace the knowledge states individually for each learner. To verify the effectiveness of ADKT, we further develop the ADKVMN (Adaptive Dynamic Key-Value Memory Network) model by combining the ADKT and the classic DKVMN, which has been widely referred as a state-of-the-art DLKT model. With extensive experiments on two popular benchmark datasets, including the ASSISTments2009 and ASSISTments2015 datasets, we empirically show that ADKVMN has superior predictive performance than DKVMN.",1,
10.1016/j.ins.2020.03.014,2020,Knowledge modeling via contextualized representations for LSTM-based personalized exercise recommendation,"Intelligent education systems have enabled personalized learning (PL). In PL, students are presented with educational contents that are consistent with their personal knowledge states (KS), and the critical task is accurately estimating these states through data. Knowledge tracing (KT) infers KS (latent) through historical student interactions (observed) with the knowledge components (KCs). A wide variety of KT techniques have been developed, from Bayesian Knowledge Tracing (BKT) to Deep Knowledge Tracing (DKT). However, in most of these methods, the KCs are represented as stand-alone entities, and the effect of representing KCs using contexts such as learning-related factors has been under-investigated. Also, KT needs to generate personalized results to facilitate tasks such as exercise recommendation. In this paper, we propose two approaches that use a contextualized representation of KCs, one with a content-based approach and another with a Long Short Term Memory (LSTM) network plus a personalization mechanism. By performing extensive experiments on two real-world datasets, results show not only a tangible improvement in prediction accuracy in the KT task compared to existing methods, but also its effectiveness in improving the recommendation precision. (C) 2020 Elsevier Inc. All rights reserved.",1,
10.1016/j.ins.2022.02.044,2022,Ability boosted knowledge tracing,"Knowledge tracing (KT) has become an increasingly relevant problem in intelligent education services, which estimates and traces the degree of learner's mastery of concepts based on students' responses to learning resources. The existing mainstream KT models, only attribute learners' feedback to the degree of knowledge mastery and leave the influence of mental ability factors out of consideration. Although ability is an essential component of the problem-solving process, these knowledge-centered models cause a contradiction between data fitting and rationalization of the model decision-making process, making it difficult to achieve high precision and readability simultaneously.In this paper, an innovative KT model, ability boosted knowledge tracing (ABKT)(1) is pro-posed, which introduces the ability factor into learning feedback attribution to enable the model to analyze the learning process from two perspectives, knowledge and ability, simul-taneously. Based on constructive learning theory, continuous matrix factorization (CMF) model is proposed to simulate the knowledge internalization process, following the initiative growth and stationarity principles. In addition, the linear graph latent ability (LGLA) model is proposed to construct learner and item latent ability features, from graph-structured learner interaction data. Then, the knowledge and ability dual-tracing framework is constructed to integrate the knowledge and ability modules. Experimental results on four public databases indicate that the proposed methods perform better than state-of-the-art knowledge tracing algorithms in terms of prediction accuracy in quantitative assessments, displaying some advantages in model interpretability and intelligibility.(c) 2022 Elsevier Inc. All rights reserved.",1,
10.3390/app13137704,2023,SFBKT: A Synthetically Forgetting Behavior Method for Knowledge Tracing,"Knowledge tracing (KT) aims to model students' knowledge levels based on their historical learning records and predict their future learning performance, which constitutes an essential component of intelligent education. Learning and forgetting are closely related, and forgetting can often interfere with the learning process. Prior research has employed diverse techniques to address the issue of interference caused by forgetting factors in predictions, yet many of these methods fail to fully leverage the forgetting information contained within learning records. This paper proposes a synthetically forgetting behavior knowledge tracing (SFBKT) model that comprehensively models a student's knowledge level by considering both individual forgetting factors and group status. Specifically, the model initially extracts forgetting information from exercise records in the input module, then updates the student's knowledge state through an improved continuous-time long short-term memory network (CTLSTM), and finally combines the individual state with the group state using collaborative filtering to predict the student's ability to correctly answer the next exercise. Our predictive model has been evaluated using four public education datasets. The experimental results indicate that our model's predictions are effective and outperform other existing methods.",1,
10.1145/3563359.3597384,2023,Exploring cognitive models to augment explainability in Deep Knowledge Tracing,"Adaptive learning systems allow a personalized adaptation based on the characteristics of the student. Tracing the progress of knowledge and skills during the learning process through cognitive models is essential so that these systems can make appropriate decisions when carrying out personalization. This is the objective of Knowledge Tracing, which studies how to infer a cognitive model from the answers given to a sequence of questions or exercises. The incorporation of Deep Learning techniques in this field has given rise to Deep Knowledge Tracing (DKT) which usually has excellent predictive outcomes. The problem is that this increase in accuracy comes with a lack of explainability since Deep Learning models can be considered black boxes from which it is difficult to build interpretations or explanations. By contrast, traditional Knowledge Tracing methods are based on underlying learning models and provide a solid basis for explainability. In this paper we describe an ongoing research to build DKT models with a good trade-off between accuracy and explainability. To this end, we propose to use a loss function based on a mixup approach where the ground truth is a mix between the dataset labels and the predictions of a surrogate explainable model. The approach has potential to improve, not only explainability through the use of the surrogate, but also accuracy thanks to regularization effects. We will validate the approach by exploring, for different cognitive models, the trade-off curve that is obtained by plotting accuracy against explainability for different mixup values.",1,
10.1145/3303772.3303830,2019,Deep Knowledge Tracing and Engagement with MOOCs,"MOOCs and online courses have notoriously high attrition [1]. One challenge is that it can be difficult to tell if students fail to complete because of disinterest or because of course difficulty. Utilizing a Deep Knowledge Tracing framework, we account for student engagement by including course interaction covariates. With these, we find that we can predict a student's next item response with over 88% accuracy. Using these predictions, targeted interventions can be offered to students and targeted improvements can be made to courses. In particular, this approach would allow for gating of content until a student has reasonable likelihood of succeeding.",0,
10.1016/j.eswa.2024.123419,2024,Pull together: Option-weighting-enhanced mixture-of-experts knowledge tracing,"Educators dynamically adjust their teaching strategies by tracing the development of students' knowledge states. Knowledge Tracing (KT) plays a role similar to that of educators in online teaching. By analyzing past performances, KT identifies learners' knowledge states and predicts the outcomes of future exercises. However, the existing KT models assume that the learner's performance is a binary variable (i.e., correct or incorrect) without refining learner performance or differentiating knowledge states. Multiple-choice tests employ distractors that engage learners in different knowledge states, with each distraction implying a specific error. In multiple-choice exercises, we propose an option -weighting -enhanced mixture -of -expert knowledge tracing (WEKT) method that assigns weights to different options based on improved option weighting scoring. The option weights affirm partial knowledge and refine the knowledge state. Building on the multi -task learning strategy, we design a mixture -of -experts framework that simultaneously predicts correctness and options, traces students' specific errors, and refines students' performances. The expert structure combines cognitive theory with deep learning technology, taking into consideration the differences between experts and students. Extensive experiments on large-scale datasets indicate that WEKT can refine knowledge states and attain more precise predictions of student performance.",1,
10.1007/s11280-022-01041-2,2022,Multi-type factors representation learning for deep learning-based knowledge tracing,"Knowledge Tracing (KT) refers to the problem of predicting future learner performance given their historical interactions with e-learning platforms. Recent years, Deep Learning-based Knowledge Tracing (DLKT) methods show superior performance than traditional methods due to their strong representational ability. However, researchers usually focus on innovations in model structure, while ignoring the importance of Representation Learning (RL) for DLKT. Investigating previous studies, it is found that the mining and integration of learning-related factors can effectively improve the performance of DLKT models. This paper focuses on providing a model embedding interface for DLKT by considering multiple types of learning-related factors. We first explore and analyze four types of learning-related factors: exercise and skill, the attributes of exercise, learners' historical performance, and learners' forgetting behavior in the learning process. We then propose an Extensible Representation Learning (ERL) approach for DLKT to extract and integrate the representations of these four types of factors by setting five components: base embedding, auxiliary embedding, performance embedding, forgetting embedding, and embedding integration. Finally, we apply ERL into two mainstream DLKT models and comprehensively evaluate the proposed approach on several real-world benchmark datasets. Results show that ERL can significantly improve the performances of these two network on predicting future learner responses.",1,
10.3389/fpsyg.2024.1359199,2024,Psychological factors enhanced heterogeneous learning interactive graph knowledge tracing for understanding the learning process,"Introduction With the rapid expansion of online education, there is a burgeoning interest within the EdTech space to offer tailored learning experiences that cater to individual student's abilities and needs. Within this framework, knowledge tracing tasks have garnered considerable attention. The primary objective of knowledge tracing is to develop a model that assesses a student's proficiency in a particular skill based on their historical performance in exercises, enabling predictions regarding the likelihood of correct responses in future exercises. While existing knowledge tracing models often incorporate information such as students' exercise answering history and skill mastery level, they frequently overlook the students' mental states during the learning process.Methods This paper addresses this gap by introducing a novel psychological factors-enhanced heterogeneous learning interactive graph knowledge tracing model (Psy-KT). This model delineates the interactions among students, exercises, and skills through a heterogeneous graph, supplementing it with four psychological factors that capture students' mental states during the learning process: frustration level, confusion level, concentration level, and boredom level. In the modeling of students' learning processes, we incorporate the forgetting curve and construct relevant cognitive parameters from the features. Additionally, we employ the Item Response Theory (IRT) model to predict students' performance in answering exercises at the subsequent time step. This model not only delves into the psychological aspects of students during the learning process but also integrates the simulation of forgetting, a natural phenomenon in the learning journey. The inclusion of cognitive parameters enhances the description of changes in students' abilities throughout the learning process. This dual focus allows for a more comprehensive understanding of students' learning behaviors while providing a high level of interpretability for the model.Results and discussion Empirical validation of the Psy-KT model is conducted using four publicly available datasets, demonstrating its superior performance in predicting students' future performance. Through rigorous experimentation, the integration of psychological and forgetting factors in the Psy-KT model not only improves predictive accuracy but also enables educators to offer more targeted tutoring and advice, enhancing the overall efficacy of the learning experience.",1,
10.1007/978-3-030-67658-2_18,2021,GIKT: A Graph-Based Interaction Model for Knowledge Tracing,"With the rapid development in online education, knowledge tracing (KT) has become a fundamental problem which traces students' knowledge status and predicts their performance on new questions. Questions are often numerous in online education systems, and are always associated with much fewer skills. However, the previous literature fails to involve question information together with high-order question-skill correlations, which is mostly limited by data sparsity and multi-skill problems. From the model perspective, previous models can hardly capture the long-term dependency of student exercise history, and cannot model the interactions between student-questions, and student-skills in a consistent way. In this paper, we propose a Graph-based Interaction model for Knowledge Tracing (GIKT) to tackle the above problems. More specifically, GIKT utilizes graph convolutional network (GCN) to substantially incorporate question-skill correlations via embedding propagation. Besides, considering that relevant questions are usually scattered throughout the exercise history, and that question and skill are just different instantiations of knowledge, GIKT generalizes the degree of students' master of the question to the interactions between the student's current state, the student's history states, the target question, and related skills. Experiments on three datasets demonstrate that GIKT achieves the new state-of-the-art performance, with 2%-6% absolute AUC improvement.",1,
10.1007/978-3-031-00126-0_6,2022,Knowledge-Enhanced Multi-task Learning for Course Recommendation,"Knowledge tracing (KT) aims to model learners' knowledge level and predict future performance given their past interactions in learning applications. Adaptive learning systems mainly generate course recommendations based on learner's knowledge level acquired by KT. However, for KT tasks, learners' forgetting has not been well modeled. In addition, learner's individual differences also influence the accuracy of knowledge level prediction. While for recommendation tasks, most of methods are conducted separately from KT tasks, ignoring the deep connection between them. In this paper, we are motivated to propose a Knowledge-Enhanced Multi-task Learning model for Course Recommendation (KMCR), which regards the improved knowledge tracing task (IKTT) as an auxiliary task to assist the primary course recommendation task (CRT). Specifically, in IKTT, for assessing dynamic evolving knowledge level, we not only design a personalized controller to enhance the deep knowledge tracing model for modeling learner's forgetting behavior, but also use personality to model the individual differences based on the theory of cognitive psychology. In CRT, we adaptively combine learner's knowledge level obtained by IKTT with their sequential behavior to generate learners' representation. The experimental results on real-world datasets demonstrate that our approach outperforms related methods in terms of recommendation accuracy.",1,
10.1016/j.ins.2023.120032,2024,Question-response representation with dual-level contrastive learning for improving knowledge tracing,"Question-response representation (aka. embedding) lies at the core for knowledge tracing, which is pivotal to model students' evolving knowledge states for predicting their future performance. Existing efforts typically learn question-response representations in a supervised manner, thus inevitably neglecting to excavate implicit information existed in student-question concept connections and suffering from the issue of data sparsity due to rare student-question interactions. Inspired by the recent success of self-supervised learning, in this paper, we propose a Question -Response representation with dual-level Contrastive Learning (QRCL) for improving knowledge tracing, to address the aforementioned problems. Our approach comprehensively considers three types of views for obtaining question-response representations: the native fold views derived from native interaction between students and questions, the augmented fold views generated by contrastive augmentation with Singular Value Decomposition (SVD), and the co response relation views acquired by means of correlation among questions. By using delicately designed contrastive rules, Graph Neural Networks (GNNs) are adopted as backbone to encode the information from each view for better generating question-response representation. Extensive experimental results conducted on five datasets clearly show our proposed method has the capability in effectively predicting students' performances.",1,
10.1016/j.eswa.2023.122249,2024,Heterogeneous graph-based knowledge tracing with spatiotemporal evolution,"Knowledge tracing (KT), in which the future performance of students is estimated by tracing their knowledge states based on their responses to exercises, is widely applied in the field of intelligent education. However, existing mainstream KT models explore the importance of knowledge relations but ignore the key role of cognitive factors. According to the knowledge construction theory, the human cognitive system performs both spatial accommodation and temporal assimilation to internalize knowledge. In this paper, we propose an innovative heterogeneous graph-based Knowledge tracing method with spatiotemporal evolution (TSKT), in which knowledge state evolution is traced along both temporal and spatial dimensions. We construct a heterogeneous graph with multiple exercise attributes, including content, concepts, and difficulty, to obtain a knowledge space with richer exercise representations through hierarchical aggregation. We design a spatial updating module in which each interaction updates the current node's state of the knowledge space and transfers its influence to its neighbors. We also design a temporal updating module to further update the knowledge state through short-term memory enhancing and long-term memory forgetting. Finally, we stack these modules to obtain deeper features by using alternate spatiotemporal updating. Extensive experiments on three datasets reveal the superiority of the proposed method and its variants in terms of future performance prediction.",1,
10.1109/ICTAI.2019.00217,2019,Some Improvements of Deep Knowledge Tracing,"Deep Knowledge Tracing (DKT), along with other machine learning approaches, are biased toward data used during the training step. Thus, for problems where we have few amounts of data for training, the generalization power will be low, the models will tend to give good results on classes containing many examples and poor results on those with few examples. Theses problems are frequent in educational data where for example, there are skills that are very difficult (floor) or very easy to master (ceiling). There will be less data on students that correctly answered questions related to difficult knowledge and that incorrectly answered questions related to knowledge easy to master. In that case, the DKT is unable to correctly predict the student's answers to questions associated with those skills. To improve the DKT, we penalize the model using a `cost-sensitive' technique. To overcome the problem of the few amounts of data, we propose a hybrid model combining the DKT and expert knowledge. Thus, the DKT is combined with a Bayesian Network (built from domain experts) by using the attention mechanism. The resulting model can accurately track knowledge of students in Logic-Muse Intelligent Tutoring System (ITS), compared to the BKT and the original DKT.",1,
10.1016/j.eswa.2023.122573,2024,Towards more accurate and interpretable model: Fusing multiple knowledge relations into deep knowledge tracing,"With the rapid growth of online education, Knowledge tracing (KT) has become a well established problem, which evaluates the knowledge states of students and predicts their performance on new exercises. Recently, more and more works have noticed the importance of relations among knowledge points and proposed to introduce the knowledge relations into KT. However, how to precisely learn the representation of different types of knowledge relations and effectively fuse multiple relations into KT is still challenging. To address this issue, we propose a novel KT model, called Deep Knowledge Tracing with Multiple Relations (DKTMR), which can simultaneously fuse the directed relation and undirected relation into KT. More specifically, casting the knowledge relations as a graph, DKTMR designs to utilize two types of Generative Adversarial Networks (GANs) to learn the representation of knowledge point with different relations via graph representation learning. Then, the Gated Recurrent Unit (GRU) is used to update the students' knowledge states. Furthermore, to consider the different contribution for each type of relation to the final prediction, an attention-based fusion method is proposed to learn the coefficients for different relations. Compared with several state-of-the-art baselines, the extensive experiments on four real-world datasets demonstrate the effectiveness and interpretability of DKTMR.",1,
10.1007/978-3-030-80421-3_29,2021,Learning Path Construction Using Reinforcement Learning and Bloom's taxonomy,"Massive Open Online Courses (MOOC) often face low course retention rates due to lack of adaptability. We consider the personalized recommendation of learning content units to improve the learning experience, thus increasing retention rates. We propose a deep learning-based learning path construction model for personalized learning, based on knowledge tracing and reinforcement learning. We first trace a student's knowledge using a deep learning-based knowledge tracing model to estimate its current knowledge state. Then, we adopt a deep reinforcement learning approach and use a student simulator to train a policy for exercise recommendation. During the recommendation process, we incorporate Bloom's taxonomy's cognitive level to enhance the recommendation quality. We evaluate our model through a user study and verify its usefulness as a learning tool that supports effective learning.",0,
10.1109/IJCNN54540.2023.10191799,2023,CAKT: Coupling contrastive learning with attention networks for interpretable knowledge tracing,"In intelligent systems, knowledge tracing (KT) plays a vital role in providing personalized education. Existing KT methods often rely on students' learning interactions to trace their knowledge states by predicting future performance on the given questions. While deep learning-based KT models have achieved improved predictive performance compared with traditional KT models, they often lack interpretability into the captured knowledge states. Furthermore, previous works generally neglect the multiple semantic information contained in knowledge states and sparse learning interactions. In this paper, we propose a novel model named CAKT that couples contrastive learning with attention networks for interpretable knowledge tracing. Specifically, we use three attention-based encoders to model three dynamic factors of the Item Response Theory (IRT) model, based on designed learning sequences. Then, we identify two key properties related to the knowledge states and learning interactions: consistency and separability. We utilize contrastive learning to incorporate the semantic information of the above properties into the representations of knowledge states and learning interactions. With the training goal of contrastive learning, we can obtain more representative representations of them. Extensive experiments demonstrate the excellent predictive performance of CAKT and the positive effects of considering the two properties. Additionally, CAKT can exhibit high interpretability for captured knowledge states.",1,
10.1145/3051457.3053985,2017,Deep Knowledge Tracing On Programming Exercises,"Modeling a student's knowledge state while she is solving exercises is a crucial stepping stone towards providing better personalized learning experiences at scale. This task, also referred to as “knowledge tracing”, has been explored extensively on exercises where student submissions fall into a finite discrete solution space, e.g. a multiple-choice answer. However, we believe that rich information about a student's learning is captured within their responses to open-ended problems with unbounded solution spaces, such as programming exercises. In addition, sequential snapshots of a student's progress while she is solving a single exercise can provide valuable insights into her learning behavior. In this setting, creating representations for a student's knowledge state is a challenging task, but with recent advances in machine learning, there are more promising techniques to learn representations for complex entities. In our work, we feed the embedded program submissions into a recurrent neural network and train it on the task of predicting the student's success on the subsequent programming exercise. By training on this task, the model learns nuanced representations of a student's knowledge, and reliably predicts future student performance.",0,
10.1109/TLT.2024.3381045,2024,Modeling Student Performance Using Feature Crosses Information for Knowledge Tracing,"Knowledge tracing (KT) is an intelligent educational technology used to model students' learning progress and mastery in adaptive learning environments for personalized education. Despite utilizing deep learning models in KT, current approaches often oversimplify students' exercise records into knowledge sequences, which fail to explore the rich information within individual questions. In addition, existing KT models tend to neglect the complex, higher order relationships between questions and latent concepts. Therefore, we introduce a novel model called feature crosses information-based KT (FCIKT) to explore the intricate interplay between questions, latent concepts, and question difficulties. FCIKT utilizes a fusion module to perform feature crosses operations on questions, integrating information from our constructed multirelational heterogeneous graph using graph convolutional networks. We deployed a multihead attention mechanism, which enriches the static embedding representations of questions and concepts with dynamic semantic information to simulate real-world scenarios of problem-solving. We also used gated recurrent units to dynamically capture and update the students' knowledge state for final prediction. Extensive experiments demonstrated the validity and interpretability of our proposed model.",1,
10.1007/s12559-017-9522-0,2018,Implicit Heterogeneous Features Embedding in Deep Knowledge Tracing,"Deep recurrent neural networks have been successfully applied to knowledge tracing, namely, deep knowledge tracing (DKT), which aims to automatically trace students' knowledge states by mining their exercise performance data. Two main issues exist in the current DKT models: First, the complexity of the DKT models increases the tension of psychological interpretation. Second, the input of existing DKT models is only the exercise tags representing via one-hot encoding. The correlation between the hidden knowledge components and students' responses to the exercises heavily relies on training the DKT models. The existing rich and informative features are excluded in the training, which may yield sub-optimal performance. To utilize the information embedded in these features, researchers have proposed a manual method to pre-process the features, i.e., discretizing them based on the inner characteristics of individual features. However, the proposed method requires many feature engineering efforts and is infeasible when the selected features are huge. To tackle the above issues, we design an automatic system to embed the heterogeneous features implicitly and effectively into the original DKT model. More specifically, we apply tree-based classifiers to predict whether the student can correctly answer the exercise given the heterogeneous features, an effective way to capture how the student deviates from others in the exercise. The predicted response and the true response are then encoded into a 4-bit one-hot encoding and concatenated with the original one-hot encoding features on the exercise tags to train a long short-term memory (LSTM) model, which can output the probability that a student will answer the exercise correctly on the corresponding exercise. We conduct a thorough evaluation on two educational datasets and demonstrate the merits and observations of our proposal.",1,
10.1007/978-3-030-23207-8_30,2019,What Does Time Tell? Tracing the Forgetting Curve Using Deep Knowledge Tracing,"Recurrent Neural Network (RNN) based Deep Knowledge Tracing (DKT) can extract a complex representation of student knowledge just using the historical time series of correct-incorrect responses given as input and can predict the student's performance on the next problem. funtoot is a personalized and adaptive learning system used by students to practice problems in school and at home. Our analysis of students' interaction with funtoot showed a time-gap as high as 1 h, 1 day and also 1 week between two problems attempted by a student in a task. In this work, along with the time series of previous correct-incorrect responses, we also encode the time-gap as a feature to investigate its effect on predictions. We call this variant of DKT as DKT-t. We test these models on our dataset and two major publicly available datasets from - Assistments and Carnegie Learning's Cognitive Tutor and analyze the predicted student knowledge by both the models and report our findings. We also show that DKT-t can help us trace the forgetting curve given various response sequences and their knowledge states.",1,
10.1109/i2ct45611.2019.9033598,2019,ENHANCING DEEP KNOWLEDGE TRACING (DKT) MODEL BY INTRODUCING EXTRA STUDENT ATTRIBUTES,"Modeling the knowledge of the student is very important in online tutoring systems. It helps the instructor to design effective exercises which vary in difficulty level and design curriculum according to the observed knowledge state of students. But modeling the student knowledge has got its own challenges. The model which uses RNNs (Recurrent Neural Networks) which has proved to be effective in modeling the student knowledge but has got its own limitations. We found that there were some features that were very important in predicting the performance of student but were ignored in the original DKT (Deep knowledge Tracing) model [1]. In this paper, we attempt to consider three more features such as No. of hints accessed, Student First Response Time and Number of Attempts when compared to DKT and use the same model as in DKT where the only change is made in the input vector we provide to the model. We also use certain techniques like dimensionality reduction by using autoencoder which helps in reducing the dimensionality as we are taking extra features into consideration.",0,
10.1109/TLT.2022.3196355,2022,CMKT: Concept Map Driven Knowledge Tracing,"In this article, we advocate for and propose a novel concept map driven knowledge tracing (CMKT) model, which utilizes educational concept map for learner modeling. This article particularly addresses the issue of learner data sparseness caused by the unwillingness to practice and irregular learning behaviors on the learner side. CMKT considers the concept map as a new information source and explicitly exploits its inherent information to help the estimation of the learner's knowledge state. Specifically, the pairwise educational relations in the concept map are formulated as the ordering pairs and are used as mathematical constraints for model construction. The topology information in the concept map is extracted and used as the model input by employing the network embedding techniques. Integrating both educational relation information and topology information in the concept map, CMKT adopts the recurrent neural network to perform knowledge tracing tasks. Comprehensive evaluations conducted on five public educational datasets of four different subjects (more than 8000 learners and their 300 000 records) demonstrate the promise and effectiveness of CMKT: The average area under ROC curve (AUC) and overall prediction accuracy (ACC) achieve 0.82 and 0.75, respectively, and CMKT outperforms all the baselines by at least 12.2% and 9.2% in terms of AUC and ACC.",1,
10.1109/TLT.2023.3259013,2023,Improving Knowledge Tracing via Considering Two Types of Actual Differences From Exercises and Prior Knowledge,"For offering adaptive learning to learners in intelligent tutoring systems, one of the fundamental tasks is knowledge tracing (KT), which aims to assess learners' learning states and make prediction for future performance. However, there are two crucial issues in deep learning-based KT models. First, the knowledge concepts are used to predict learners' performance instead of exercises. This choice ignores the actual difference among exercises, which leads to the KT model's inability to explore the rich information at the exercise level, thus, weakening the KT model's performance. Second, the actual difference in prior knowledge is neglected. Therefore, in-depth research of these two types of the actual differences offers the possibility to improve the prediction performance of KT further. To this end, we propose a fine-grained knowledge tracing model (FGKT)(1) to capture these two types of actual differences. We first obtain the exercise representations by considering the corresponding knowledge concepts and actual difference among exercises. Then, an effective attention mechanism is designed to capture the relevance between assessment exercises and historical interactions to acquire individual prior knowledge. Finally, we evaluate the proposed FGKT model on several available benchmark datasets. The experiment results show that our model surpasses benchmark KT models by up to 7% in prediction performance on the latest ASSISTments dataset.",1,
10.1007/978-981-99-4742-3_11,2023,Modeling Working Memory Using Convolutional Neural Networks for Knowledge Tracing,"Recently, working memory models have been used in knowledge tracing to improve prediction performance, which is a cognitive system with limited processing capacity enabling short-term storage of information. However, existing versions do not model limited capacity adequately or consider individual differences in processing capacity. To resolve these problems, we simulate working memory for knowledge tracking (MCKT) by utilizing a Convolutional Neural Network (CNN). To this end, multiple CNNs with convolution kernels of different scales are used to process a single interaction sequence, where each scale of convolution kernels represents a certain processing capacity of the current learner. MCKT utilizes a multi-scale convolution kernel approach to achieve personalized simulation of processing capacities of different learners. Moreover, long-term memory is simulated to predict future learner responses. The results of experiments on several benchmark datasets from the real world reveals that MCKT performs better than multiple classical models.",1,
