#,DOI,Year,Title,Abstract,"Score (0=exclude, 0.5=unsure, 1=include)"
33,10.1016/j.knosys.2021.106819,2021,Time-and-Concept Enhanced Deep Multidimensional Item Response Theory for interpretable Knowledge Tracing,"Knowledge Tracing (KT), namely tracking the knowledge conditions of each student across time, has always been challenging due to the latent and time-varying characteristics of knowledge states. Traditional psychometrical frameworks lack the ability to extract rich representations of exercises or examinees. Deep learning KT models have shown comparable performances, but uninterpretable model parameters have limited their applications. Furthermore, existing frameworks usually cannot handle temporal factors appropriately, as most of them simply apply stochastic processes to simulate fluctuations on knowledge states over time. In this paper, we propose a new framework named Time-and-Concept Enhanced Deep Multidimensional Item Response Theory (TC-MIRT) that integrates the parameters of a Multidimensional Item Response Theory into an improved recurrent neural network. Specifically, two enhanced components are constructed to empower our model with the ability to perform trend forecasting and to generate explainable parameters in each specific domain of knowledge. Experiments implemented on two real-world datasets show that our framework outperforms state-of-the-art KT approaches on performance prediction tasks. Moreover, extensive case analyses also demonstrate that the interpretable parameters of TC-MIRT can be used to evaluate the strengths and weaknesses of students. (C) 2021 Elsevier B.V. All rights reserved.",
34,10.1007/978-3-030-52240-7_59,2020,Exercise Hierarchical Feature Enhanced Knowledge Tracing,"Knowledge tracing is a fundamental task in the computer-aid educational system. In this paper, we propose a hierarchical exercise feature enhanced knowledge tracing framework, which could enhance the ability of knowledge tracing by incorporating knowledge distribution, semantic features, and difficulty features from exercise text. Extensive experiments show the high performance of our framework.",
35,10.1109/TCSS.2023.3306909,2024,Knowledge-Associated Embedding for Memory-Aware Knowledge Tracing,"Knowledge tracing (KT) refers to predicting learners’ performance in the future according to their historical learning interactions, which has become an essential task for the computer-aided education (CAE) system. Recent studies alleviate the data sparsity problem by mining higher-order information between questions and skills. However, the effect of multiple skills in the question is not distinguished, and various learning behaviors need to be better modeled. In this article, we propose a knowledge-associated embedding for the memory-aware KT (KMKT) framework. Specifically, we first construct a question-skill bipartite graph with attribute features. A knowledge-associated embedding (KAE) module is proposed to capture the distinctiveness of multiskills via the process of knowledge propagation and knowledge aggregation based on predefined knowledge-paths. Then, to simulate the memory recall phenomenon of the learners in KT, we design a memory-aware module for long short-term memory (MA-LSTM) networks. A temporal attention layer in MA-LSTM is proposed to learn the forgetting mechanism of the human brain. Finally, we introduce a learning-gain (LG) layer to obtain learners’ benefits after each exercise. Extensive experiments on four real-world datasets illustrate that our KMKT model performs better than the other baseline models, which verifies the effectiveness of our work.",
36,10.1016/j.eswa.2022.119334,2023,HHSKT: A learner-question interactions based heterogeneous graph neural network model for knowledge tracing,"Knowledge tracing (KT) has evolved into a crucial component of the online education system with the rapid development of online adaptive learning. A key component of the online education system, knowledge tracing (KT) assesses the state of knowledge by tracing each learner's learning activities. The deep KT model, however, is unable to completely extract the features of the questions and skills due to the heterogeneity of the knowledge structure and the sparsity of the interaction records. The model's capacity to handle diverse data is also restricted by over parameterization. Additionally, rather than focusing solely on a precise fit, Intelligent Tutoring System (ITS) should stress interpretable feedback to the learner. The deep KT approach's item parameters are still unable to give students useful feedback. This paper proposes to trace learner's short-term attentional knowledge based on heterogeneous hierarchical differentiation, named HHSKT. Hierarchical heterogeneous knowledge structures and short-term memory enhancement will be used to model the effects of different interaction sequences on learners. Specifically, knowledge structure features are extracted by constructing a heterogeneous graph-based graph information augmentation component. Question differentiation parameters are derived by transforming the TrueSkill system. Besides, learners' history-related practices are emphasized by windowing attention. Comparing regression-based and deep-based knowledge tracing experiments shows that HHSKT significantly outperforms the state-of-the-art approach on three real -world benchmark datasets (with an average AUC improvement of up to 3%), demonstrating the superiority of the proposed model.",
37,10.1007/978-3-030-68799-1_25,2021,Input-Aware Neural Knowledge Tracing Machine,"Knowledge Tracing (KT) is the task of tracing evolving knowledge state of each student as (s)he engages with a sequence of learning activities and can provide personalized instructions. However, exiting methods such as Bayesian Knowledge Tracing (BKT) and Deep Knowledge Tracing (DKT) either cannot capture the relationship among different concepts or lack of interpretability. Although Knowledge Tracing Machines (KTM) makes up for these shortcomings, it only uses a linear function to model students' knowledge states, which cannot capture more information contained in each feature. To solve above problems, this work introduces a novel model called Input-aware Neural Knowledge Tracing Machine (INKTM) which can enhance the interpretability to some extent and capture more complex structure information of real-world data to improve prediction performance. Unlike standard FM-based methods that focus on the feature interactions, our model focuses more on the information contained in each feature itself and retains all 2-order feature interactions. By converting weights of each feature to a multidimensional vector, our model can use the vectors to learn a unique attention weight of each feature in different instances by an attention network, so as to highlight important features and then enhance interpretability. At last, we input re-weighted features to a deep neural network to capture the non-linear and complex inherent structure of data. Experiment results show our model can consistently outperform existing models in a range of KT datasets. © 2021, Springer Nature Switzerland AG.",
38,10.1007/978-3-030-90328-2_4,2021,Uncertainty of Skill Estimates in Operational Deep Knowledge Tracing,"This paper reviews challenges and opportunities of using deep knowledge tracing (DKT) in a production hybrid instructional and assessment system (HIAS) for measuring learner skills. An empirical data analysis using K-12 Mathematics practice data from an operational HIAS showed that the DKT estimates in the training set were well calibrated, although the estimates in a holdout set overestimated student skill mastery at lower ability levels and underestimated mastery at higher ability levels. Examination of expected vs. observed plots across ability levels provided a means for evaluating the generalizability of the predictions to new students and suggested a stratified sampling approach may be needed for creating training and validation sets that better represented the full practice data. Estimation accuracy was further examined in a parameter recovery study, with response data simulated from patterns in the empirical data. The study showed that in general, the DKT procedure had high estimation accuracy, with an absolute mean difference of approximately 0.03 units on the [0, 1] probability scale and a Pearson correlation of +0.89 between true and estimated values. To examine uncertainty in the estimates, 80% and 95% confidence intervals were constructed around the mean estimate for each true ability level. As expected, results showed less uncertainty at ability levels where more response data were generated, indicating the DKT approach is sensitive to ability level information in the training data. Finally, the DKT approach was able to detect learning across attempts within a skill, suggesting this approach may be preferred over traditional measurement approaches in scenarios where ability levels change over time.",
39,10.1145/3651671.3651763,2024,Global Feature-guided Knowledge Tracing,"Knowledge tracing (KT) is a critical task in educational data mining, aiming to infer students' mastery levels of knowledge points using observable historical interaction data and related exercise information. However most of them only focus on local features, neglecting the utilization of students' overall learning ability features. To address this issue, we propose a novel KT model: Global Feature-guided Knowledge Tracing (GFKT). This model leverages students' historical interaction data to extract global features for guiding the training process, thereby improving the model's predictive capability. Specifically, (i) we design a global feature module to obtain students' overall learning abilities at the current moment. It constructs a data vector of ability values by calculating the difference between students' correct and incorrect response rates for each knowledge point, collecting this set of ability values as global features, (ii) we utilize Recurrent Neural Network to extract local features from students' exercise sequences, and propose a joint loss function that combines these local features with global features to train and optimize the model's performance. Extensive experiments on multiple real-world public datasets, GFKT demonstrates superior predictive performance compared to state-of-the-art KT methods.",
40,10.1007/978-3-030-86362-3_26,2021,Sequential Self-Attentive Model for Knowledge Tracing,"With the ongoing development of online education platforms, knowledge tracing (KT) has become a critical task that can help online education platforms provide personalized education. KT aims to find out students' knowledge states and predict whether students can correctly answer the question according to their exercise history. However, existing works fail to incorporate question information and ignore some useful contextual information. In this paper, we propose a novel Sequential Self-Attentive model for Knowledge Tracing (SSAKT). SSAKT utilizes question information based on Multidimensional Item Response Theory (MIRT) which can capture the relations between questions and skills. Then SSAKT uses a self-attention layer to capture the relations between questions. Unlike traditional self-attention networks, the self-attention layer in SSAKT uses Long Short-Term Memory networks (LSTM) to perform positional encoding. Moreover, a context module is designed to capture the contextual information. Experiments on four real-world datasets show that SSAKT outperforms existing KT models. We also conduct a case study that shows our model can effectively capture the relations between questions and skills.",
41,10.1109/LRA.2023.3235683,2023,Continuous Estimation of Lower Limb Joint Angles From Multi-Stream Signals Based on Knowledge Tracing,"Multi-stream signals are increasingly being used in robot-assisted rehabilitation training, where the timely and accurate prediction of a patient's motor intentions is frequently required to provide simultaneous and proportional control strategies. However, existing methods for motion intent prediction typically isolate signals from different modalities, resulting in a loss of signal traceability and interpretability. Therefore, we propose a multi-stream signal-fusion strategy based on knowledge tracing (MSKT). First, we collected surface electromyography, force myography, and vibroarthrography signals from the lower extremity and used different encoders to map these signals into a problem component, concept component, and identity token component. The process of human learning was then simulated using a knowledge-tracing strategy to reconstruct these components into new features. Finally, the reconstructed set of depth features was mapped to joint angles. We validated the performance of the proposed method using motion data from eight participants in different locomotion modes and compared the results to those of a temporal convolution network and long short-term memory networks. The results indicate that the MSKT achieves the lowest root-mean-squared error. This study demonstrates that the proposed knowledge-tracing-based strategy enables accurate continuous estimation for lower-limb exoskeleton rehabilitation robots.",
42,10.1016/j.eswa.2024.124451,2024,Meta-path structured graph pre-training for improving knowledge tracing in intelligent tutoring,"Knowledge tracing (KT) aims to predict students' future performance by tracking their learning behaviors in intelligent tutoring systems (ITS). In KT, three main types of entities are involved: students, exercises, and knowledge concepts. Graph structures provide an effective framework for establishing relationships between different entities. However, existing KT methods have neglected complex connections and implicit relational features, thus facing challenges in capturing high -order information in educational data. To this end, this paper proposes MPSG, a M eta- P ath S tructured G raph method designed to harness high -order information between entities to pre-train informative exercise embeddings for improving KT. Technically, structured by different meta-paths, four relation graphs are derived to establish implicit cross-entity relationships. On each graph, the surrounding neighbors of each node are then obtained through an intimacy-based sampling strategy. Subsequently, during the representation learning stage, node features under different meta-path views are generated and then aggregated to obtain the final exercise embeddings. The learned embeddings are optimized through three auxiliary tasks, anchored within a self-supervised learning paradigm. Extensive experiments across four public datasets demonstrate that our method can significantly enhance the predictive performance of downstream KT models.",
43,10.1109/TE.2024.3448532,2024,Knowledge Tracing Through Enhanced Questions and Directed Learning Interaction Based on Multigraph Embeddings in Intelligent Tutoring Systems,"In recent years, knowledge tracing (KT) within intelligent tutoring systems (ITSs) has seen rapid development. KT aims to assess a student's knowledge state based on past performance and predict the correctness of the next question. Traditional KT often treats questions with different difficulty levels of the same concept as identical representations, limiting the effectiveness of question embedding. Additionally, higher-order semantic relationships between questions are overlooked. Graph models have been employed in KT to enhance question embedding representation, but they rarely consider the directed relationships between learning interactions. Therefore, this article introduces a novel approach, KT through Enhanced Questions and Directed Learning Interaction Based on multigraph embeddings in ITSs (MGEKT), to address these limitations. One channel enhances question embedding representation by capturing relationships between students, concepts, and questions. This channel defines two meta paths, facilitating the learning of high-order semantic relationships between questions. The other channel constructs a directed graph of learning interactions, leveraging graph attention convolution to illustrate their intricate relationships. A new gating mechanism is proposed to capture long-term dependencies and emphasize critical information when tracing students' knowledge states. Notably, MGEKT employs reverse knowledge distillation, transferring knowledge from two small models (student models) to a large model (teacher model). This knowledge distillation enhances the model's generalization performance and improves the perception of crucial information. In comparative evaluations across four datasets, MGEKT outperformed baselines, demonstrating its effectiveness in KT.",
44,10.3390/app14083425,2024,An Enhanced Deep Knowledge Tracing Model via Multiband Attention and Quantized Question Embedding,"Knowledge tracing plays a crucial role in effectively representing learners' understanding and predicting their future learning progress. However, existing deep knowledge tracing methods, reliant on the forgetting model and Rasch model, often fail to account for the varying rates at which learners forget different knowledge concepts and the variations in question embedding covering the same concept. To address these limitations, this paper introduces an enhanced deep knowledge tracing model that combines the transformer network model with two innovative components. The first component is a multiband attention mechanism, which comprehensively summarizes a learner's past response history across various temporal scales. By computing attention weights using different decay rates, this mechanism adaptively captures both long-term and short-term interactions for different knowledge concepts. The second component utilizes a quantized question embedding module to effectively capture variations among questions addressing the same knowledge concept. This module represents these differences in a rich embedding space, avoiding overparameterization or overfitting issues. The proposed model is evaluated on popular benchmark datasets, demonstrating its superiority over existing knowledge tracing methods in accuracy. This enhancement holds potential for improving personalized learning systems by providing more precise insights into learners' progress.",
45,10.1007/978-981-97-5678-0_17,2024,Deep Knowledge Tracking Integrating Programming Exercise Difficulty and Forgetting Factors,"To address the limitations of existing deep knowledge tracing models that often consider the factors influencing learners' knowledge state changes from a single perspective, lacking a comprehensive analysis of multiple dimensions such as problems, learners, and knowledge points, which fails to effectively reflect the complexity and diversity of the learning process, resulting in inadequate predictive performance and interpretability, a graph neural network knowledge tracing method that integrates programming problem difficulty and forgetting factors is proposed. First, an algorithm for analyzing problem difficulty based on GPT-3 is designed to enrich the feature information at the model's input layer. Second, five factors affecting learners' forgetting behavior are analyzed to fit the behavioral characteristics of learners. Finally, a knowledge structure graph is constructed using graph neural networks, enabling the model to consider the complex relationships between knowledge points while addressing problem difficulty and forgetting factors during the node updating process. Experimental results demonstrate that this method offers improved predictive performance and interpretability.",
46,10.1016/j.eswa.2021.116454,2022,Tracking knowledge proficiency of students with calibrated Q-matrix,"With the emergence of intelligent educational systems, numerous research works are dedicated to Knowledge Tracing (KT), which refers to the issue of diagnosing students' changing knowledge proficiency in exercises. Recent developments in KT have yielded immense success on this task and they mainly use sophisticated and flexible deep neural network-based models to fully exploit the interaction information between students and response logs. However, these models either ignore the significance of Q-matrix associated exercises with knowledge concepts (KCs) or fail to avoid the subjective tendency of experts within the Q-matrix. To tackle these problems, in this paper, we devise a novel Calibrated Q-matrix-based Knowledge Tracing (CQKT) framework to track knowledge proficiency of students dynamically in KT. To be specific, for the original Q-matrix, we primarily strive to capture the high-order connectivity between exercises and KCs to obtain potential KCs of each exercise by utilizing graph convolution network. Then, three Q-matrix calibration methods based on a pairwise Bayesian treatment equipped with potential KCs are adopted to refine and calibrate the raw Q-matrix so that the subjective tendency of the Q-matrix defined by domain experts can be weakened. After that, the embedding of each exercise aggregated the calibrated Q-matrix with historical student interactions is injected into the Long Short-Term Memory (LSTM) network to trace students' knowledge states. Extensive experiments are conducted on three real-world benchmark datasets and the results show the superiority of CQKT. In particular, we demonstrate its practicability via applying it to three fundamental educational tasks, including score prediction, knowledge state estimation, and diagnosis result visualization.",
47,10.1109/MLCCIM55934.2022.00044,2022,A knowledge tracing model based on attention mechanism,"For the past few years, with the gradual promotion and application of personalized online education system, researchers began to consider using online education system to trace and analyze students' knowledge status, so as to teach students according to their aptitude and improve their learning ability. At present, researchers use the deep knowledge tracing method to research students' academic performance based on the interaction records of students' answers and build deep knowledge tracing model, which has shown good performance. However, the deep knowledge tracing model does not carry out in-depth analysis of knowledge interaction, leading to its poor interpretability. Therefore, in this study, we regard attention mechanism as an effective interpretability module to construct a new knowledge tracing model, which effectively improves the interpretability and predictive ability. The experimental results also indicate that the expression of this model is improved to a certain extent.  © 2022 IEEE.",
48,10.1109/i2ct45611.2019.9033598,2019,ENHANCING DEEP KNOWLEDGE TRACING (DKT) MODEL BY INTRODUCING EXTRA STUDENT ATTRIBUTES,"Modeling the knowledge of the student is very important in online tutoring systems. It helps the instructor to design effective exercises which vary in difficulty level and design curriculum according to the observed knowledge state of students. But modeling the student knowledge has got its own challenges. The model which uses RNNs (Recurrent Neural Networks) which has proved to be effective in modeling the student knowledge but has got its own limitations. We found that there were some features that were very important in predicting the performance of student but were ignored in the original DKT (Deep knowledge Tracing) model [1]. In this paper, we attempt to consider three more features such as No. of hints accessed, Student First Response Time and Number of Attempts when compared to DKT and use the same model as in DKT where the only change is made in the input vector we provide to the model. We also use certain techniques like dimensionality reduction by using autoencoder which helps in reducing the dimensionality as we are taking extra features into consideration.",
49,10.1007/978-3-031-11644-5_51,2022,A Generic Interpreting Method for Knowledge Tracing Models,"To interpret the deep learning based knowledge tracing models (DLKT), we introduce a generic method with four-step procedure. The proposed method and procedure are generally applicable to the DLKT models with diverse inner structures. The experiment results validate them on three existing knowledge tracing models, where the individual contributions of the input question-answer pairs to the models' decision are properly calculated. By leverage the calculated interpreting results, we explore the key information hidden in the DLKT models.",
50,10.1109/ICALT52272.2021.00019,2021,A step towards Improving Knowledge Tracing,"The advancements in learning analytics and artificial intelligence have shown potential to transform traditional modalities of education. One such advancement relates to the use of educational data to track students’ knowledge state [1] . In the field of Artificial Intelligence in Education knowledge tracing is a well-established area where a machine models the students’ knowledge as they interact with coursework. Effective modeling of student knowledge can have a high impact on the provision of adaptive learning. In fact, lately, research on knowledge tracing is intensifying with a particular focus on the utilisation of new machine learning algorithms for modelling the students’ knowledge levels and for the prediction of performance on future tasks and assessment questions [2] . In the case of question-level assessment, knowledge tracing provides an interpretation of the learner’s current knowledge level and models their mastery of the skill or knowledge component to which future questions are related [3] .",
51,10.1016/j.neucom.2022.02.080,2022,Knowledge interaction enhanced sequential modeling for interpretable learner knowledge diagnosis in intelligent tutoring systems,"One of the fundamental tasks when providing personalized tutoring services to learners in online learning systems, such as intelligent tutoring systems and massive open online courses, is the learner knowledge diagnosis (LKD). LKD obtains the learner knowledge proficiency on skills by modeling their learning performance. Learners' knowledge construction process is not static, but evolves overtime; hence, the evolution of learners' knowledge proficiency must be dynamically traced. Moreover, considering the wide usage of online learning systems by large numbers of learners, the LKD task also needs to meet the requirements of large-scale assessment and interpretability to explain the diagnosed results. The existing models are either designed for static scenarios or find it difficult to explain the causality between learner performance and knowledge proficiency, as well as the item characteristics. To solve these issues, we propose herein a novel model, called the knowledge interaction-enhanced dynamic LKD (KIEDLKD), to develop learner performance, and hence, dynamically diagnose and trace the evolution of each learner's knowledge proficiency during the exercising activities. We first propose a dynamic LKD framework by unifying the strength of the memory capacity of the key-value memory network to enhance the representation of the knowledge state during learner performance modeling and the interpretability of the Item Response Theory (IRT) to explain the learner performance in terms of knowledge proficiency and item characteristics (i.e., item difficulty and discrimination). In this framework, we diagnose and trace each learner's knowledge proficiency on each knowledge concept (KC) over time and store them into an auxiliary memory using the key-value memory network. We further infer their general proficiencies and the IRT-based item characteristics using another neural network. Moreover, we propose the knowledge interaction concept among KCs and incorporate it into the LKD procedure to further exploit the long-term dependencies in the exercising sequences, thereby devising the KIEDLKD model. We also incorporate the learner oriented cognitive item difficulty into our model, based on each learner's exercising history, to adaptively model the item difficulty. Based on these factors, our KIEDLKD model can not only output the learners' knowledge proficiency in a multi-granularity manner but also output the item characteristics, making it possible to interpret the learner performances in terms of their current knowledge states and item characteristics. Extensive experiments are conducted from six perspectives on five real-world datasets to test our model.The results of learner performance prediction demonstrate the superiority of our model on the LKD task. It can also automatically discover the underlying interaction between each pair of latent KCs, and the underlying concepts for each exercise. The ablation study verifies the contributions of each component in our model. Moreover, it can depict the evolution of learner knowledge proficiency in a multi-granularity manner and provide additional information for skill domain analysis, which enables the interpretability of our model. (c) 2022 Elsevier B.V. All rights reserved.",
52,10.1007/978-981-99-6553-3_6,2023,A CNN-Based Self-attentive Approach to Knowledge Tracing,"A key component in modern education is personalized learning, which involves the difficult challenge of precisely measuring knowledge acquisition. Deep knowledge tracing (DKT) is a recurrent neural network-based method used for this problem. However, the predictions from DKT can be inaccurate. To address this, a mathematical computation model called convolutional neural network (CNN) is leveraged to understand the DKT problem better. Our model identifies applicable knowledge concepts (KC) and predicts the student’s conceptual mastery based on them. SAKT, a method of self-attention that successfully manages data sparsity (sparse data representation), is introduced here. Our model outperforms modern knowledge tracing models, improving the average AUC by 5.56% through experiments on real-world datasets. This performance breakthrough has positive ramifications for personalized learning, improving the accuracy and efficacy of knowledge acquisition and ultimately resulting in more specialized and productive educational settings. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd 2023.",
53,10.1109/ICOIN56518.2023.10048977,2023,Applying Deep Knowledge Tracing Model for University Students' Programming Learning,"Programming ability has become one of the most critical competencies. In the past, it was hard for teachers to find and understand the problems that students face in the coding process. Nowadays, we could apply data mining methods focused on the educational domain. Moreover, through deep knowledge tracing, we can model students' learning trajectories, understand their current knowledge level, and help students overcome their weaknesses. This study was conducted at a national university in northern Taiwan. A total of 20 graduate students participated in the experiment for 16 weeks. This study combines deep knowledge tracing to develop a program learning system. The system supports the predictions based on the data accumulated from students' learning processes. The system dashboard can immediately help students and teachers understand students' learning behavior and mastery of various knowledge points and provide corresponding learning suggestions. The results show that students' program ability has been significantly improved in this study. Deep knowledge tracing can effectively be used in programming classes to evaluate students' abilities according to their different knowledge points.",
54,10.1016/j.ins.2022.12.075,2023,Self-supervised heterogeneous hypergraph network for knowledge tracing,"Recently online intelligent education has caught more and more attention, especially due to the global influence of Covid-19. A major task of intelligent education is Knowledge Tracing (KT) which aims to capture students' dynamic status based on their historical interaction records and predict their responses to new questions. However, most existing KT methods suffer from the record data sparsity problem. In reality, there are a huge number of questions in the online database and students can only interact with a very small set of these questions. The records of some questions could be extremely sparse, which may significantly degrade the performance of traditional KT methods. Although recent graph neural network (GNN) based KT methods can fuse graph-structured information and improve the representation of questions to some extent, the pairwise structure of GNN neglects the complex high-order and heterogeneous relations among questions. To resolve the above issues, we develop a novel KT model with the heterogeneous hypergraph network (HHN) and propose an attentive mechanism, including intra-and inter-graph attentions, to aggregate neighbors' information upon HHN. To further enhance the question representation, we supplement the supervised prediction task of KT with an auxiliary self-supervised task, i.e., we additionally generate an augmented view with adaptive data augmentation to implement contrastive learning and exploit the unobserved relations among questions. We conduct extensive experiments on several real-world datasets. Experimental results demonstrate that our proposed method achieves significant performance improvement compared to some state-of-the-art KT methods.(c) 2022 Elsevier Inc. All rights reserved.",
55,10.1145/3488560.3498379,2022,AdaptKT: A Domain Adaptable Method for Knowledge Tracing,"Knowledge tracing is a crucial and fundamental task in online education systems, which can predict students' knowledge state for personalized learning. Unfortunately, existing methods are domain-specific, whereas there are many domains (e.g., subjects, schools) in the real education scene and some domains suffer from the problem of lacking sufficient data. Therefore, exploiting the knowledge among other domains to improve the model's performance in the target domain remains pretty much open. We term this problem as Domain Adaptation for Knowledge Tracing (DAKT), which aims to transfer knowledge from the source domain to the target one for knowledge tracing. In this paper, we propose a novel adaptable method, namely Adaptable Knowledge Tracing (AdaptKT), which contains three phases to explore this problem. Specifically, phase I is instance selection. Given the question texts of two domains, we train an auto-encoder to select and embed similar instances from both domains. Phase II is distribution discrepancy minimizing. After obtaining the selected instances and their linguistic representations, we train a knowledge tracing model and adopt the Maximum Mean Discrepancy (MMD) to minimize the discrepancy between the distributions of the domain-specific knowledge states. Phase III is fine-tuning of the output layer. We replace the output layer of the model that trained in phase II with a new one to make the knowledge tracing model's output dimension match the number of knowledge concepts in the target domain. The new output layer is trained while other parameters are frozen. We conduct extensive experiments on two large-scale real-world datasets, where the experimental results clearly demonstrate the effectiveness of AdaptKT for solving the DAKT problem.",
56,10.1007/978-3-031-29800-4_59,2023,Q&A Generation for Flashcards Within a Transformer-Based Framework,"Flashcards are the main tool used in the Spaced Repetition memorization method, yet there are not always available for many topics due to the high effort required to create them. The combination of Transformer-based models with a Recommender System (RS) can enable a dynamic model to auto generate flashcards recommendation for learners and serious game players in order to improve their skills in learning programming. In previous work we introduced an Intelligent Serious Games (ISG) model that combined Deep Knowledge Tracing (DKT) with a Transformer-based Recommender. The ISG aimed at predicting the outcomes of the next missions in gameplay and enabling flashcard recommendations to complete the missions successfully. This research extends previous work by introducing a novel architecture and specifications for a Transformer-based recommender. We introduce a novel Transformer-based framework tailored to three different NLP tasks to dynamically generate flashcards in the form of supporting paragraphs, questions, and answers. We fine-tuned GPT-2, GPT-Neo, BART and T5 models on three new programming skills datasets, and evaluated them using standard metrics that target coherence and semantics. Our findings revealed that the framework is capable of generating coherent flashcards in a fully automated process using a single input string as prompt. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",
57,10.1145/3394486.3403282,2020,Context-Aware Attentive Knowledge Tracing,"Knowledge tracing (KT) refers to the problem of predicting future learner performance given their past performance in educational applications. Recent developments in KT using flexible deep neural network-based models excel at this task. However, these models often offer limited interpretability, thus making them insufficient for personalized learning, which requires using interpretable feedback and actionable recommendations to help learners achieve better learning outcomes. In this paper, we propose attentive knowledge tracing (AKT), which couples flexible attention-based neural network models with a series of novel, interpretable model components inspired by cognitive and psychometric models. AKT uses a novel monotonic attention mechanism that relates a learner's future responses to assessment questions to their past responses; attention weights are computed using exponential decay and a context-aware relative distance measure, in addition to the similarity between questions. Moreover, we use the Rasch model to regularize the concept and question embeddings; these embeddings are able to capture individual differences among questions on the same concept without using an excessive number of parameters. We conduct experiments on several real-world benchmark datasets and show that AKT outperforms existing KT methods (by up to 6% in AUC in some cases) on predicting future learner responses. We also conduct several case studies and show that AKT exhibits excellent interpretability and thus has potential for automated feedback and personalization in real-world educational settings.",
58,10.1145/3569966.3569987,2022,MAKT: A Knowledge Tracing Model Based on Meta Path and Attention Mechanism,"With the deep integration of artificial intelligence technology and education, the traditional educational pattern has changed hugely. And the adaptive learning based on automatically tracing the knowledge status of students at various stages has attracted much attention. As a key technology, knowledge tracing has become an important research. Although deep learning has been used in knowledge tracing and promoted certain performance improvement, it still has drawbacks. First, current researches consider less the explicit representation of meta path between users, exercise items and knowledge points, ignoring some of the higher-order information. Secondly, the effect of higher-order information of knowledge points on prediction is ignored. Therefore, we proposes a meta-path based four-way co-attention mechanism model MAKT to inversely infer the unobservable knowledge cognitive proficiency of learners. Based on meta path, the MAKT model integrates instance information and higher-order information between nodes to effectively enhance the representation of user, exercise item and knowledge points. The effectiveness of the model was demonstrated in tests on a real data set. © 2022 ACM.",
59,10.5281/zenodo.6450190,2022,"Assessing the Performance of Online Students - New Data, New Approaches, Improved Accuracy","We consider the problem of assessing the changing performance levels of individual students as they go through online courses. This student performance modeling problem is a critical step for building adaptive online teaching systems. Specifically, we conduct a study of how to utilize various types and large amounts of log data from earlier students to train accurate machine learning models that predict the performance of future students. This study is the first to use four very large sets of student data made available recently from four distinct intelligent tutoring systems. Our results include a new machine learning approach that defines a new state of the art for logistic regression based student performance modeling, improving over earlier methods in several ways: First, we achieve improved accuracy of student modeling by introducing new features that can be easily computed from conventional question-response logs (e.g., features such as the pattern in the student’s most recent answers). Second, we take advantage of features of the student history that go beyond question-response pairs (e.g., features such as which video segments the student watched, or skipped) as well as background information about prerequisite structure in the curriculum. Third, we train multiple specialized student performance models for different aspects of the curriculum (e.g., specializing in early versus later segments of the student history), then combine these specialized models to create a group prediction of the student performance. Taken together, these innovations yield an average AUC score across these four datasets of 0.808 compared to the previous best logistic regression approach score of 0.767, and also outperforming state-of-the-art deep neural net approaches. Importantly, we observe consistent improvements from each of our three methodological innovations, in each diverse dataset, suggesting that our methods are of general utility and likely to produce improvements for other online tutoring systems as well. © 2022 The authors.",
60,10.1109/DDCLS58216.2023.10167354,2023,Deep Knowledge Tracing Model with an Evolved Transformer Structure,"Deep Learning based Knowledge Tracing (DKT) has become a research hotspot in the intelligence education field. Compared to conventional methods, DKT has better predictive performance, but it also has some problems such as poor interpretability, and difficulties in reflecting the causal association between the learning process and test results. In this paper, a new DKT model is proposed based on an evolved Transformer structure (DKT-ETS). The encoder layer is composed of three coding networks with a multi-head self-attention mechanism, while inputs are three types of pre-processed data: process characteristic data, test label data, and answer results data. Output as three matrices of V, Q, K. The decoder layer also uses the attention mechanism, in which the input is the three matrices that come from encoder, and the output is the predicted result. By improving the structure, the new model introduces certain interpretability into the V, Q and K matrices of the attention mechanism. Thus, the causal relationship between the learning process and test results can be reflected a certain extent: the V matrix represents the characteristic information of the testee's learning process; the Q matrix reflects the knowledge point information examined by the current test item; and the K matrix represents the results of the previous tests. DKT-ETS was validated by using the large-scale knowledge tracking data set EdNet, and the results show that its ACC and AUC evaluation indicators have been significantly improved.",
61,10.1109/ITME60234.2023.00134,2023,Context Matters: Advancing Knowledge Tracing in Online Learning with Enhanced Attention Mechanisms,"Online learning platforms are widely used in the field of education and are popular for their ability to personalize learning plans based on students' individual needs and learning history. Knowledge tracking is an important task in the field of education, which aims to monitor students' learning progress and knowledge mastery. Traditional knowledge tracking methods mainly track students' knowledge state based on individual historical information, but often ignore the contextual information in the learning process of students, that is, the impact of recent similar learning experiences on the prediction accuracy of students' answers. Therefore, we propose enhanced knowledge tracing for online learning based on attention mechanisms, which can effectively use attention mechanisms to improve the performance of knowledge tracing models. First, we introduce parallel attention mechanism that adjusts its attention to different contextual information to better capture the impact of the latest relevant practices. Secondly, considering the influence of different factors can evaluate students' knowledge status more comprehensively and reduce the bias of single factor. The effectiveness of our proposed method is demonstrated by experiments on four real data sets, and the experimental results show that our method has the best performance.  © 2023 IEEE.",
