ID,DOI,Year,Title,Authors,Country,Venue,Input features,Method,dataset,Input features.1,Metrics,Q2,Q3,Q4,Category
27,,2023,Dynamic Cognitive Diagnosis: An Educational Priors-Enhanced Deep Knowledge Tracing Perspective,Fei Wang; Zhenya Huang; Qi Liu; Enhong Chen; Yu Yin; Jianhui Ma; Shijin Wang,China,journal,"question attributes (Question ID, Knowledge Component ID, question difficulty, question discrimination), student response sequences (correct/incorrect), and combinations of these features","Bayesian Knowledge Tracing (BKT), Deep Knowledge Tracing (DKT), NeuralCDM, Item Response Theory (IRT), Dynamic Cognitive Diagnosis Models (DIRT and DNeuralCDM)","ASSIST2009 (3,079 students, 17,671 questions, 271,468 records), ASSIST2012 (24,768 students, 32,111 questions, 2,460,433 records), and KDDCup (9,571 students, 129,240 questions, 1,816,860 records).","question attributes (Question ID, Knowledge Component ID, question difficulty, question discrimination), student response sequences (correct/incorrect), and combinations of these features","Area Under Curve (AUC), Accuracy, Degree of Agreement (DOA), Partial Degree of Agreement (PDOA), and Pearson Correlation Coefficient (PCC).","""When there is a nonnegligible sparsity problem with the questions, models having knowledge component information as input (DKVMN, DKT_KC, and DKT_MLP) have better performance than DKT_Q, which is unaware of the knowledge components."" They addressed this by incorporating knowledge component information and preprocessing data by removing questions with fewer than 15 responses.

""Among the deep knowledge tracing models, when there is a nonnegligible sparsity problem with the questions, models having knowledge component information as input (DKVMN, DKT_KC, and DKT_MLP) have better performance than DKT_Q, which is unaware of the knowledge components.""","Heatmap: ""We can observe that when the student gives a correct
(incorrect) answer, DNeuralCDM_2 tends to increase (decrease)
its diagnosed proficiency on a related KC. The lower part (1 _
30 grid) of the figure shows the changing ability diagnosed by
DIRT_2. We can further observe that when the student gives
a correct (incorrect) answer, DIRT_2 increases (decreases) its
diagnosed overall ability.""",No,Hybrid/Meta
28,10.1109/TKDE.2019.2924374,2019,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,Q Liu; Z Huang; Y Yin; E Chen; H Xiong; Y Su; G Hu,China,Journal,"-exercising records of students (tasks)
-knowledge concepts 
-exercise content",bidirectional LSTM (recurrent neural network with Markov property),"The dataset supplied by iFLYTEK Co., Ltd. was collected
from Zhixue.com1 a widely-used online learning system,
which provided high school students with a large number of
exercise resources for exercising.
5 million exercising records of 84,909 students and 15,045 exercises were remained.","-exercising records of students (tasks)
-knowledge concepts 
-exercise content",AUC,"Addresses ""cold-start problem""

""That is, we have to make predictions for new students and new exercises. In this scenario, limited information could be exploited, and thus, leading to the poor prediction results.""","Qualitatively through heatmap (comparing two test data on the same skill/knowledge concept, one simpler and the other more difficult excercise)

Model works better for the longer sequences and in shorter sequences it may misclassify. 

when she answers an exercise right (wrong), her knowledge state on the corresponding concept increases (decreases), e.g., she acquires knowledge on �Set� after she solves an exercise of �Set� concept at her second exercising step. However, there exists an inconsistent phenomenon that her mastery level of �Function� becomes slightly lower at the
third exercising step even she answers the exercise correctly. This is because the model may not perfectly track the student with only few exercising records at the beginning, but it could get better performance if the student�s exercising records are getting longer enough in the following steps.",No,Sequence Modeling
29,10.1145/3652601,2024,ELAKT: Enhancing Locality for Attentive Knowledge Tracing,Yanjun Pu; Fang Liu; Rongye Shi; Haitao Yuan; Ruibo Chen; Tianhao Peng; Wenjun Wu,China,journal,embeddings of concept IDs and skill-related features such as the difficulty of the problem and the student's ability.,"The ELAKT model, which includes an encoder module from the transformer, causal convolutions, and a prediction correction module.",#VALUE!,embeddings of concept IDs and skill-related features such as the difficulty of the problem and the student's ability.,"AUC, ACC, RMSE, MAE",No,""" SAKT model underwent fluctuations in the L2-norm of knowledge embeddings. It jumped from the maximum to the minimum value, simply because of the occasional correct or incorrect answer (see red box, Nos. 1�5). When a student consistently answered exercises incorrectly, the overall L2-norm of the knowledge embedding even approached zero (see red box, Nos. 6�7). By contrast, the L2-norm of the aggregated knowledge embeddings generated by the ELAKT model was smooth, with few extreme changes. Even if a student answered multiple exercises incorrectly, the aggregated knowledge embedding remained stable. This suggests that module to aggregate input knowledge embeddings was effective in consolidating contextual knowledge embeddings and obtaining comprehensive ones. This feature is consistent with the fact that a student�s knowledge state should not change drastically over a short time, even though abnormal behaviors may occasionally occur""",No,Graph-Based
30,,2025,Enhanced Knowledge Tracing via Frequency Integration and Order Sensitivity,S. Cai; L. Li; LM Watterson,China,conference,"Sequences of questions and asnwers
frequency of interactions between students and knowledge points","transformer with order-sensitive RNNs

DKT,DKT+, DKVMN, SAKT, AKT, DTransformer","ASSISTments2009,ASSISTments2017, Statics2011, Algebra05","Sequences of questions and asnwers
frequency of interactions between students and knowledge points","Mean Absolute Error (MAE), Accuracy (ACC), 
and Area Under the Curve (AUC).",The paper addresses potential data sparsity and imbalance by using interaction frequency as a proxy for learning rates and truncating high frequencies to manage outliers. It does not explicitly mention bias but implies handling data inconsistencies through these methods.,"To investigate whether the predicted knowledge states by our model are more stable, we calculated the Euclidean distance [1] between the predicted knowledge states at adjacent time steps for the same student. A smaller Euclidean distance indicates greater similarity between the two vectors. In our experiments, we limited the length of the students� learning sequences to 200 interactions, so Fig. 2[b] in our study shows the Euclidean distance between the predicted knowledge states before and after 200 interactions for the same student by both our model and AKT.",No process-level interpretability,Forgetting-Aware
31,,2024,Enhanced Knowledge Tracing With Learnable Filter,Fulan Qian; Yetong Hu; Guangyao Li; Jie Chen; Shijin Wang; Shu Zhao; K Mattarozzi,China,journal,skills and responses,"Filter Knowledge Tracing (FKT) model, Learnable filter, Attention module, LSTM (Long Short-Term Memory) networks, Filtering algorithms for denoising","""ASSISTments2009: 4,151 students, 110 KSs, 325,637 Responses ASSISTments2012: 46,674 students, 265 KSs, 6,123,273 Responses ASSISTments2015: 19,840 students, 100 KSs, 683,801 Responses ASSISTments2017: 1,709 students, 102 KSs, 942,816 Responses""",skills and responses,AUC,No,"""compared to the continuous correct answers from
the 15th time step onwards, the color after the 23rd time step
is lighter, indirectly indicating that different hidden knowledge
states at different times from the current moment have varying
impacts on the current knowledge state.""",-,Hybrid/Meta
32,,2023,Enhancing Deep Knowledge Tracing with Auxiliary Tasks,Z. Liu; Q. Liu; J. Chen; S. Huang; B. Gao; W. Luo; J. Weng,China,conference,question tagging (QT) prediction task and individualized prior knowledge (IK) prediction task + Sequences of questions and asnwers,"LSTM

Deep Sequential KT Models (DKT+, DKT, DKT-F,KQN,ATKT)

Deep Non-Sequential KT Models (DKVMN,SKVMN,GKT,SAKT,SAINT,AKT)","Algebra 2005-2006 (AL2005),Bridge to Algebra 2006-2007 (BD2006),NeurIPS2020 Education Challenge (NIPS34)",question tagging (QT) prediction task and individualized prior knowledge (IK) prediction task + Sequences of questions and asnwers,"AUC, ACCuracy (ACC)",No,"As we can see, the estimated knowledge states of c2/c5 decrease/increase quite a bit when the student mistakenly/correctly answers the 2nd/11th question that contains the KC c2/c5 respectively. As the student practices more questions, the knowledge state estimations become much more stable and after fnishing all these 50 questions, the model is confdent that the student has acquired the KCs c1 and c5",No process-level interpretability,Hybrid/Meta
33,,2021,Enhancing Knowledge Tracing via Adversarial Training,Xiaopeng Guo; Zhijie Huang; Jie Gao; Mingyu Shang; Maojing Shu; Jun Sun,China,conference,Sequences of questions and asnwers,"LSTM + attention head


BKT+, DKT, DKT+, DKVMN, SAKT, AKT","
� Statics2011,
� ASSISTments2009. 
� ASSISTments2015,
� ASSISTments2017,",Sequences of questions and asnwers,AUC,No,"For instance, when the student correctly answers the first five exercises with the same KS �Addition and Subtraction Positive Decimals�, the mastery degree shown in the fourth row is increasing correspondingly. During the exercising, we can observe that the mastery degree of a certain KS would be affected by other ones. Take �Multiplication Fractions� as an example. The student does exercises with this KS only at 34 and 35 steps, but the predicted mastery degree of this KS changes gradually before 34 steps. This is mainly because there are potential connections between different KSs and thus they may influence each other�s mastery updates during the exercising",No process-level interpretability,Graph-Based
34,,2023,Exploiting multiple question factors for knowledge tracing,Yan Zhao; Huifang Ma; Wentao Wang; Weiwei Gao; Fanyi Yang; Xiangchun He,China,journal,"1) Student-question answer space (student responses to questions), 2) Question-concept association space (which concepts are involved in questions), 3) Knowledge state representations, and 4) Question factors including difficulty level and discrimination.",Multiple Question Factors for Knowledge Tracing (MQFKT) method; Adam optimization algorithm; cross-entropy loss function,"assist09: 4,163 students, 17,746 questions, 123 concepts, 278,868 response records ASSISTchall: 1,709 students, 2,210 questions, 101 concepts, 351,820 response records EdNet-KT1: 5,000 students, 12,081 questions, 189 concepts, 632,230 response records","1) Student-question answer space (student responses to questions), 2) Question-concept association space (which concepts are involved in questions), 3) Knowledge state representations, and 4) Question factors including difficulty level and discrimination.",Accuracy (ACC) and Area Under the ROC Curve (AUC) with t-tests to establish statistical significance (p-value < 0.05),"""Avoiding properly the curse of dimensionality and enormous sparsity and excavating adequately the question infor- mation contained in interactions between student-question answer space and question-concept association space.""","Heatmap: ""For instance,response representation of q6485 and q6527 share the highest weight sincethey own the same concepts (i.e., Prime Number). Furthermore, therelevant weight between q14750 and q8779 is also high, which can bepostulated that q14750 is more difficult than q8779. Therefore, the formeris answered correctly due to students� guessing while the latter isresponded incorrectly because of students� slipping. This results in asmaller difference and a larger correlation weight between corre-sponding response representations of two questions.""",No,Hybrid/Meta
35,,2024,Explore Bayesian analysis in Cognitive-aware Key-Value Memory Networks for knowledge tracing in online learning,Juli Zhang; Ruoheng Xia; Qiguang Miao; Quan Wang,China,journal,"The input features for the model include sequences of students' learning behaviors represented by discrete time steps and questions, with each sequence associated with four labels: question, concept related to the question, difficulty level of the question, and answer. Additionally, embeddings for question difficulty and question tags, as well as correlation weights between questions and latent concepts, are used as input features.","Bayesian Cognitive-aware Key-Value Memory Network (BCKVMN), Dynamic Key-Value Memory Network (DKVMN), Long Short-Term Memory (LSTM), Bayesian theory, question embedding method considering difficulty levels","- Algebra2005: 574 students
- Assistments2009: 4151 students
- Assistments2017: 1709 students","The input features for the model include sequences of students' learning behaviors represented by discrete time steps and questions, with each sequence associated with four labels: question, concept related to the question, difficulty level of the question, and answer. Additionally, embeddings for question difficulty and question tags, as well as correlation weights between questions and latent concepts, are used as input features.",AUC,"the performance of the model declines as the size of the training data set decreases across all three data sets. However, even when the training data is reduced to 1/5 of its original training size, the performance only decreases by 2.57%, 3.67%, and 3.84% respectively compared to the original performance. This further demonstrates that our proposed method can still achieve superior prediction performance even with a significant reduction in training data.",No,No,Memory-Augmented
36,,2021,Federated Deep Knowledge Tracing,Jinze Wu; Zhenya Huang; Qi Liu; Defu Lian; Hao Wang; Enhong Chen; Haiping Ma; Shijin Wang,China,conference,"""the input of DKT, xl _ {0, 1}2K is the one-hot encoding of tuple (ql,gl), which represents the combination of which concept of item is answered and whether the item is answered correctly.""","Federated Deep Knowledge Tracing (FDKT) framework with two quality-oriented implementations (FDKTCTT and FDKTIRT), using a client-server architecture with quality-oriented aggregation strategies and hierarchical model interpolation for personalization.","""MATH consists of about 200,000 records of 3,830 students in 7 schools"" and ""ASSIST... we obtain about 800,000 learning records of 7,395 students in 38 schools""","""the input of DKT, xl _ {0, 1}2K is the one-hot encoding of tuple (ql,gl), which represents the combination of which concept of item is answered and whether the item is answered correctly.""","""ROC Curve (AUC), Prediction Accuracy (ACC), and Root Mean Square Error (RMSE)"" plus ""metric 'epoch'"" for efficiency and ""Degree of Agreement (DOA)"" for comparability","""different schools usually have different learning schedules, thus, students isolated may practice inconsistent and unbalanced learning processes"" and notes ""inconsistency between data scales and data quality"" (Section 5.1), which leads to ""Non-IID"" scenarios where ""distributions of data in local silos depend on data owners and are significantly different from the global one""",No,No,Sequence Modeling
37,,2022,GameDKT: Deep knowledge tracing in educational games,Danial Hooshyar; Yueh-Min Huang; Yeongwook Yang,Estonia,journal,"""we considered the following: learners' ID, types of game tasks or algorithmic thinking strategy, skills or strategy required to solve the task, and whether the learner correctly applied the required skills/strategy to the corresponding task."" The paper also notes they used ""number of times the mouse hits the walls using the current solution, score for the specific solution (including the scores for eating cheeses as well as skills), the skill or algorithmic thinking strategy that was employed in the developed solution, distance of the NPCs to the mouse, and so forth.""","""The GameDKT approach benefits from several state-of-the-art machine learning models to learn hidden representations of players' actions. These include RNN, CNN, LSTM, and MLP, which is our baseline.""","""The dataset has 5981 examples/solutions from 408 learners who had played the game between December 2019 and August 2021"" from ""Estonia, Taiwan, France, South Africa, and South Korea."" Three datasets were created: ""original AutoThinking (OA), padded AutoThinking (PA), and replaced missing values AutoThinking (RMA) datasets.""","""we considered the following: learners' ID, types of game tasks or algorithmic thinking strategy, skills or strategy required to solve the task, and whether the learner correctly applied the required skills/strategy to the corresponding task."" The paper also notes they used ""number of times the mouse hits the walls using the current solution, score for the specific solution (including the scores for eating cheeses as well as skills), the skill or algorithmic thinking strategy that was employed in the developed solution, distance of the NPCs to the mouse, and so forth.""","""area under curve (AUC) and square of Pearson correlation (R_)"" as well as ""accuracy, precision, and recall for each model.""","Methods to overcome sparsity problem: ""Since some players developed less than the standard 20 solutions required to complete the game, which may or may not have resulted in them winning the game, we employed two techniques to create a stationary submission set for each player. These include padding and replacing missing values using linear interpolation between the two neighbouring values in the series, which calculates the replacement value.""",No,No,Hybrid/Meta
38,,2024,GELT: A graph embeddings based lite-transformer for knowledge tracing,Zhijie Liang; Ruixia Wu; Zhao Liang; Juan Yang; Ling Wang; Jianyu Su,China,journal,"The input features for the model include encoded question information, skill point information, student ID, and student answer indicators. These are processed into graph embeddings representing questions and skills as nodes with edges indicating their co-occurrence in answer records.","GELT (Graph Embeddings based Lite-Transformer), Lite-Transformer (energy-saving attention mechanism), Graph Convolutional Networks (GCNs) for embedding aggregation","Total: 36,246
- ASSISTments2009: 3,841
- ASSISTments2012: 27,405
- EdNet: 5,000","The input features for the model include encoded question information, skill point information, student ID, and student answer indicators. These are processed into graph embeddings representing questions and skills as nodes with edges indicating their co-occurrence in answer records.",AUC,The paper mentions an imbalance between positive and negative samples in the dataset and addresses it by using the Area Under the Curve (AUC) as a performance metric to evaluate model performance. AUC is robust against sample class distribution imbalances.,"One notable finding from Fig 8 is the diagonal, which represents the correlation of each skill with itself. In this case, skills S2 and S5 have weight values close to zero as they are not associated with any other skills. Conversely, skills S8 and S1 show a strong correlation (weight value close to 1) because they are both connected to questions 127-129. This correlation
implies that achieving mastery in either skill S3 or S6 indicates successful performance in
answering questions 127-129.",No,Attentive
39,,2024,Global Feature-guided Knowledge Tracing,Wei Yanyou; Guan Zheng; Wang Xue; Yan Yu; Yang Zhijun,China,conference,"""We encode the input xt as a one-hot or multi-hot encoding of the student interaction tuple{qt, rt}, where qt represents the exercise label, and rt indicates whether the student answered correctly (0/1).""",Recurrent Neural Network (RNN) for local feature extraction Statistical methods to calculate correctness and incorrectness rates for global features Cross-entropy loss functions combined in a joint loss function Adam optimizer for training,math1: 4206 students Frcsub: 536 students ASSISTments 2012: 29018 students ASSISTments 2017: 1709 students,"""We encode the input xt as a one-hot or multi-hot encoding of the student interaction tuple{qt, rt}, where qt represents the exercise label, and rt indicates whether the student answered correctly (0/1).""","AUC, ACC,RMSE","Addresses bias: ""In the novel contrastive loss function, distinct weights are assigned to global and local data, facilitating deep knowledge tracing models in learning from global data information. This strategy helps balance the model's focus between students with varying levels of interaction with skills."" 

The paper addresses this bias by introducing a contrastive learning strategy that aims to balance the model's focus between students with different levels of interaction.",""" her mastery status of the
knowledge points gradually changed during the exercise. Notably,
as she responded correctly to the exercises, her knowledge sta-
tus of the corresponding knowledge points increased; conversely,
when she answered incorrectly, her mastery level decreased ac-
cordingly. The above results show that the GFKT model can trace
students� mastery of each knowledge point in real time based on
their answers after obtaining the results of their responses.""",No,Hybrid/Meta
40,10.3233/WEB-210458,2019,Graph-based knowledge tracing: Modeling student proficiency using graph neural networks,Hiromi Nakagawa; Yusuke Iwasawa; Yutaka Matsuo,Japan,Conference,uples representing the answered exercises and their correctnes,"""Dense Graph,"" ""Transition Graph,"" ""DKT Graph,"" ""Parametric Adjacency Matrix (PAM),"" ""Multi-head Attention (MHA),"" and ""Variational Autoencoder (VAE).","ASSISTments 2009-2010,
�KDDCup�
2,000 participants across both datasets",uples representing the answered exercises and their correctnes,AUC,No,"Heatmaps.

""we can see that GKT clearly updates the knowledge state of related concepts only, although DKT updates that of all the concepts indistinctly and cannot model the change in related concepts.""",No,Graph-Based
41,,2023,GraphCA: Learning from Graph Counterfactual Augmentation for Knowledge Tracing,Xinhua Wang; Shasha Zhao; Lei Guo; Lei Zhu; Chaoran Cui; Liancheng Xu,China,journal,Student information (student nodes) Question information (question nodes) Concept information (concept nodes) Student-question relationships (whether students answered questions correctly) Question-concept relationships (which concepts are covered by which questions),"GraphCA (Graph Counterfactual Augmentation), Graph Convolutional Network (GCN), Contrastive Learning, InfoNCE, Cross-Entropy Loss","assist2009: ""This dataset has 3241 students, 17,709 questions, 124 concepts, and 278,868 records."" (from Section IV-B) ASSIST2012: ""This dataset has 29,018 students, 53,086 questions, 265 concepts, and 2,711,602 records."" (from Section IV-B) Bridge Algebra2006: ""This dataset has 1130 students, 129,263 questions, 550 concepts, and 1,817,393 records."" (from Section IV-B)",Student information (student nodes) Question information (question nodes) Concept information (concept nodes) Student-question relationships (whether students answered questions correctly) Question-concept relationships (which concepts are covered by which questions),"AUC, ACC","""To alleviate the inherent data sparsity issue in the knowledge tracing task, we resort to the modeling of the counterfactual world, which not only contains observed data but also unobserved data.""

""result demonstrates the effectiveness of our counterfactual graph and the contrastive learning method in alleviating the data sparsity issue""","Heatmap: ""The student�s knowledge state showing his mastery of knowl-
edge concepts is presented in Fig. 9, from which we can
observe that by answering fewer questions, we cannot capture
the significant change in his/her mastery of the concepts.""",No,Graph-Based
42,,2024,Heterogeneous Evolution Network Embedding with Temporal Extension for Intelligent Tutoring Systems,Sannyuya Liu; Shengyingjie Liu; Zongkai Yang; Jianwen Sun; Xiaoxuan Shen; Qing Li; Rui Zou; Shangheng Du,China,journal,"The input features for the model are derived from the graph representation of ITS data, where entities and their relations form nodes and edges. Initially, random low-dimensional embeddings of nodes are used, and these embeddings are further refined through aggregation of features from neighboring nodes using node-level and relation-level attention mechanisms.","Temporal Extension Graph Neural Network (TEGNN), Temporal Extension (TE), Stochastic Temporal Pooling (STP), Heterogeneous Aggregation Network","- ASSIST2009: 4,029 learners
- ASSIST2012: 10,000 learners
- EdNet: 10,000 learners
- Junyi: 10,000 learners","The input features for the model are derived from the graph representation of ITS data, where entities and their relations form nodes and edges. Initially, random low-dimensional embeddings of nodes are used, and these embeddings are further refined through aggregation of features from neighboring nodes using node-level and relation-level attention mechanisms.","AUC, ACC",No,"We can observe the aggregation weights for each relation. The sections composed of E, K and L in the heatmap are more similar over all datasets, where the aggregation rates of K to E and E to L are extremely high. Intuitively, the representations of K and E require more information about E and L. As a result, the feature rep- resentations among the related nodes can be enhanced by means of a heterogeneous aggregation network.",No,Graph-Based
43,10.1016/j.eswa.2023.122249,2024,Heterogeneous graph-based knowledge tracing with spatiotemporal evolution,Huali Yang; Shengze Hu; Jing Geng; Tao Huang; Junjie Hu; Hao Zhang; Qiang Zhu,China,journal,"text content of the exercise
knowledge concepts and exercise difficulty
three forgetting features such as sequence time intervals, intervals between repetitions, and past trial counts.","TSKT (Temporal-Spatial Knowledge Tracing), DKT (Deep Knowledge Tracing), DKVMN (Dynamic Key-Value Memory Networks), DKVMN-CA, GKT (Graph-based Knowledge Tracing), GIKT (Graph Interaction Knowledge Tracing), SGKT (Session Graph Knowledge Tracing), GRU (Gated Recurrent Unit)",#VALUE!,"text content of the exercise
knowledge concepts and exercise difficulty
three forgetting features such as sequence time intervals, intervals between repetitions, and past trial counts.","AUC, ACC",No,"Via heatmaps (they call it ""thermodynamic diagramm)

""Furthermore, we observed that Knowledge concept 3 demonstrated a decreasing tendency of knowledge mastery over time owing to longterm inactivity, i.e., temporally updating the knowledge state. This result indicated that spatiotemporal dimensions had an influence on student knowledge states.""",No,Graph-Based
44,,2018,Implicit Heterogeneous Features Embedding in Deep Knowledge Tracing,Haiqin Yang; Lap Pong Cheung; E Vorobyeva,Hong Kong,journal,"One-hot encoding of exercise tags, binary-encoded predicted and true responses derived from heterogeneous features processed by tree-based classifiers.","CART, Random Forest, GBDT, LSTM, Stochastic Gradient Descent","Total: 5,151
- ASSISTments: 4,151
- Junyi: 1,000","One-hot encoding of exercise tags, binary-encoded predicted and true responses derived from heterogeneous features processed by tree-based classifiers.",AUC,"The paper mentions potential bias introduced by manual feature engineering due to insufficient domain knowledge and noise from improperly pre-processed heterogeneous features. It also notes performance degradation related to dataset size, suggesting issues with data sparsity or imbalance. They do not seem to offer how to solve this problem though

""., they require sufficient domain knowledge to understand the data. This may introduce bias when practitioners cannot fully explore the data. """,No,No,Memory-Augmented
45,,2023,Improving Interpretability of Deep Sequential Knowledge Tracing Models with Question-centric Cognitive Representations,Jiahao Chen; Zitao Liu; Shuyan Huang; Qiongqiong Liu; Weiqi Luo,China,conference,Sequences of questions and asnwers,"LSTM and Item Response Theory (IRT).
DKT, DKT+, KQN,qDKT, DKT-IRT, IEKT, DKVMN,DeepIRT, ATKT, GKT, SAKT, SAINT, AKT","- ASSIST2009
- Algebra2005
- NeurIPS34",Sequences of questions and asnwers,The evaluation metrics are Area Under the Curve (AUC) as the main metric and Accuracy as the secondary metric.,No,"we observe that: (1) since the student always gives wrong responses to k3 after answering the question 20 (e.g. question 21,43), the knowledge state of k3 is constantly decline. On the other hand, the student always gives right answers to the questions (question 22-31) which are related to the k5 hence the knowledge acquisition of k5 is constantly increasing. (2) The knowledge states of little-attempted KCs are slightly lower than those of the diligent-attempted KCs","we design an IRT based prediction layer to enhance the prediction interpretability of the proposed QIKT mode

Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Graph-Based
46,,2023,Improving knowledge tracing via a heterogeneous information network enhanced by student interactions,Jia Xu; Xinyue Huang; Teng Xiao; Pin Lv,China,journal,"Student (question_ids ), Question(question_id, question_type, question_average response 
time), Skill (skill_id)","HIN-KT model, k-medoids clustering algorithm, Multi-Layer Perceptron (MLP), product-based neural network (PNN), t-SNE visualization algorithm

BKT,DKT,DKVMN,CKT,DHKT,GIKT,PEBG-DKT, PEBG-CKT","
- ASSIST2009
- EdNet
- Statics2011","Student (question_ids ), Question(question_id, question_type, question_average response 
time), Skill (skill_id)","AUC, accuracy (ACC)",No,"We can draw the following conclusions from the figure. For skill s46, the student continued to practice relevant questions (e.g., q1, q2, q6, et al.) during this period, resulting in a higher level of mastery. For skills s49 and s92, the student can master these two skills through fewer questions, and the mastery level has obvious changes and improvements in the process of answering the questions. It can be seen that the student does not master skill s81 well and often makes mistakes; hence, he does not master it in the end. For skill s40, the student had good mastery at the beginning, but his mastery level dropped slightly later. He might have forgotten because he had not practiced in a while, indicating that he needs to review it in time",Interpretability using t-SNE ( visualizing embedding strategies),Graph-Based
47,,2024,Improving Knowledge Tracing via Considering Students' Interaction Patterns,Shilong Shu; Liting Wang; Junhua Tian,China,conference,"Question embedding using both Knowledge Component (KC) and Difficulty Level (DL), Interaction responses - specifically hints and time","Interaction Pattern-Aware Knowledge Tracing (IPAKT) model, which enhances model performance by exploring the relationship between interaction patterns and knowledge states. We define the model as two stages: interaction pattern discovery and knowledge acquisition. In the two stages, attentive modules and fusion gates are designed to automatically measure how different interaction patterns contribute to knowledge acquisition

DKT,SAKT,AKT,DKVMN,LPKT,DIMKT","
- Assist2009
- Assist2012
- Assist2017","Question embedding using both Knowledge Component (KC) and Difficulty Level (DL), Interaction responses - specifically hints and time",Area Under Curve (AUC) and Accuracy (ACC).,No,"To make the prediction more intuitive, we draw a heat map of the predicted values in Fig. 3, where a student practices 15 questions related to four KCs. Note that the prediction in the first column relies on a correct answer to the KC �Stem and Leaf Plot�, which is not shown in the heat map. We can see that even though the student answered q5, q6, and q7 incorrectly, the predicted values labeled in the red box still show an increase, indicating that he/she acquires knowledge from the requested hints. This phenomenon indicates that our model is performing as expected and interaction patterns have an impact on knowledge states.",No,Memory-Augmented
48,,2022,Improving Knowledge Tracing with Collaborative Information,Ting Long; Jiarui Qin; Jian Shen; Weinan Zhang; Wei Xia; Ruiming Tang; Xiuqiang He; Yong Yu,China,conference,"The input features for the model include question and skill embeddings from a KS-enhanced graph, cognitive question difficulty, and comprehensive question representations obtained through a convolutional representation method. Additionally, one-hot encodings of skills and questions are used in some model variants.",- Collaborative Knowledge Tracing (CoKT) - Attention mechanism for intra-student information - Attention mechanism for inter-student information - Adam optimizer,"- Assist0910: 3,002 learners
- Assist1213: 22,339 learners
- EdNet: 5,000 learners","The input features for the model include question and skill embeddings from a KS-enhanced graph, cognitive question difficulty, and comprehensive question representations obtained through a convolutional representation method. Additionally, one-hot encodings of skills and questions are used in some model variants.","AUC, ACC",No,"The evidence in intra-student information indi-cates that the student has a high probability to correctly answer ____ .However, the student gives the wrong answer as it is presented inFigure 8, ____ is annotated by hollow grid. On the other hand, fromthe inter-student information presented in Figure 8, we can observethat 7/10 = 70% peer students incorrectly answered the questionwith ID 1. It implies that the student has a high probability of in-correctly answering ____ , which is consistent with the ground truth.By integrating the inter-student information with the intra-studentinformation, our CoKT predicts that the student has only 46.87%probability of correctly answering the question. That means, theinter-student information is beneficial for the prediction, especiallywhen intra-student information is less informative.",No,Memory-Augmented
49,,2022,Infusing Expert Knowledge Into a Deep Neural Network Using Attention Mechanism for Personalized Learning Environments,Ange Tato; Roger Nkambou; ZJ Liu; X Li; CY Guo,Canada,journal,"For Logic-Muse, the model used ""one-hot encoding to convert student performance into a fixed length of vectors whose all elements are 0 except for a single 1. The single 1 in the vector indicates two things: which skill was answered and if the skill was answered correctly."" For MorALERT, the model used ""verbatims that have been pre-processed (tokenization, text to sequence, etc.) and vectored.""","LSTM (Long Short-Term Memory), CNN (Convolutional Neural Networks), and attention mechanisms to create a hybrid architecture that incorporates expert knowledge (from Bayesian Networks and other sources) into deep neural networks.","For Logic-Muse, there were 294 participants who completed 48 logical reasoning exercises. For MorALERT, they used a dataset of 731 verbatim (written in French) manually annotated by experts.","For Logic-Muse, the model used ""one-hot encoding to convert student performance into a fixed length of vectors whose all elements are 0 except for a single 1. The single 1 in the vector indicates two things: which skill was answered and if the skill was answered correctly."" For MorALERT, the model used ""verbatims that have been pre-processed (tokenization, text to sequence, etc.) and vectored.""","accuracy, F1-score, precision, and recall.","""Machine learning models are biased toward data seen during the training steps. The models will tend to give good results in classes where there are many examples and poor results in those with few examples. This problem generally occurs when the classes to predict are imbalanced and this is frequent in educational data""

""...for skills that are easy to master which means the rare occurrence of incorrect answers, the model will also fail to accurately predict the student's knowledge. ""","Heatmap: ""when a student gives correct answers to a skill k, the DKT does not sometimes update the current state of knowledge on that skill (the skill stays low or is updated very slowly). """,No,Graph-Based
50,,2021,Input-Aware Neural Knowledge Tracing Machine,M. Zhang; X. Zhu; Y. Ji; J Li; MG Newman; JZ Wang,China,conference,Sequences of questions and asnwers,"IRT, 
MIRT, AFM, PFA, KTM and DeepFM

novel neural network model INKTM","- ASSISTments2009:
- ASSISTments2012
- Bridge Algebra2006",Sequences of questions and asnwers,The evaluation metrics used are AUC (Area Under the ROC curve) and ACC (Accuracy).,No,Simple heatmap with shallow explanation,"using an attention network to assign unique weights to each feature, highlighting their importance in predictions. This is more like global explaination not local

Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Graph-Based
