,DOI,Year,Paper title,Authors,Country,Pub. type (confernce/journal),Pub. veune,keywords,objectives,Ethical concerns (anything in the paper discussing the use of ethic frameworks to prepare their data and model),Underlying theories used,Materials and Methods,,,,Evaluation,,RQ2 (data biases): bias-inconsistenc-spars-imbalanc-,Q3 (evaluate the sequential stability),Q4 (interpretability),Limitations,Challenge and future directions,Note
8,10.1145/3652601,2024,ELAKT: Enhancing Locality for Attentive Knowledge Tracing,Yanjun Pu; Fang Liu; Rongye Shi; Haitao Yuan; Ruibo Chen; Tianhao Peng; Wenjun Wu,China,journal,ACM TRANSACTIONS ON INFORMATION SYSTEMS,"Knowledge tracing, self-attention, causal convolution, knowledge aggre- gation","to address ""the problem of the inability to comprehensively capture the state of knowledge"" and ""the problem of noise caused by stochastic behaviors"" by introducing modules for aggregating knowledge embeddings and leveraging causal convolutions to obtain comprehensive knowledge components (KCs) for better prediction of students' responses.",no,"Rasch model, a psychometric model
IRT (Item Response Theory)","The ELAKT model, which includes an encoder module from the transformer, causal convolutions, and a prediction correction module.","- ""ASSISTments09-10: 4,151"" - ""ASSISTments2015: 19,917"" - ""ASSISTments2017: 1,709"" - ""EdNet1-Sub: 10,000""","Not mentioned explicitly, but most probably math ",embeddings of concept IDs and skill-related features such as the difficulty of the problem and the student's ability.,"""We performed standard k-fold cross-validation (with k = 5) on all the models and datasets for evaluation. For each fold, 20% of the response records were used as the test dataset, 20% as the validation set, and 60% as the training set.""","AUC, ACC, RMSE, MAE ",No,""" SAKT model underwent fluctuations in the L2-norm of knowledge embeddings. It jumped from the maximum to the minimum value, simply because of the occasional correct or incorrect answer (see red box, Nos. 1–5). When a student consistently answered exercises incorrectly, the overall L2-norm of the knowledge embedding even approached zero (see red box, Nos. 6–7). By contrast, the L2-norm of the aggregated knowledge embeddings generated by the ELAKT model was smooth, with few extreme changes. Even if a student answered multiple exercises incorrectly, the aggregated knowledge embedding remained stable. This suggests that module to aggregate input knowledge embeddings was effective in consolidating contextual knowledge embeddings and obtaining comprehensive ones. This feature is consistent with the fact that a student’s knowledge state should not change drastically over a short time, even though abnormal behaviors may occasionally occur""",No ,-,"""In future work, we plan to enhance the textual interpretability of the ELAKT model by using large language models, such as ChatGPT, for pre-processing the dataset to obtain more accurate KCs.""",
9,10.1109/ICDMW58026.2022.00046,2022,Deep Knowledge Tracing with Learning Curves,Shanghui Yang; Xin Liu; Hang Su; Mengxia Zhu; Xuesong Lu,China,conference,"2022 IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS, ICDMW","knowledge tracing, learning curve theory, three-dimensional convolutional neural networks, capsule networks, deep learning",to introduce new architectures in the knowledge tracing task that explicitly model learning curve theor,no,learning curve theory,three-dimensional convolutional neural networks and capsule networks,"- ASSISTments2009: 4,151 students 
- ASSISTments2015: 19,840 students 
- ASSISTments2017: 1,709 students 
- Statics2011: 333 students","Not mentioned explicitly, but most probably math and statistics (based on the dataset)","embeddings of student-question interactions, text embeddings of questions, and manually-constructed features related to forgetting behavior","we use 20% of the interaction sequences to form a testing set for each dataset, and split the remaining sequences into five folds for cross validation",AUC,"The paper addresses the issue of sparse interactions between students and questions, which is a form of data sparsity.

""To bridge this gap, we propose to explicitly model a student's experience on the same knowledge concept with the one covered by the next question, and combine the experience with the student's overall knowledge state to predict her response to the next question. """,No,No ,-,-,good visualizations for model
10,10.1109/TLT.2024.3403135,2024,Design and evaluation of Trustworthy Knowledge Tracing Model for Intelligent Tutoring System,"Yu Lu , Deliang Wang , Penghe Chen , and Zhi Zhang",China,journal,IEEE Transactions on Learning Technologies,"Explainable artificial intelligence (xAI), intelligent tutoring system (ITS), knowledge tracing (KT) model, trustworthy artificial intelligence (AI)","to design a trustworthy knowledge tracing model that addresses transparency, explainability, and accountability issues using xAI methods, and to investigate whether this model increases users' trust and knowledge of the intelligent tutoring system",no,knowledge space theory and Ebbinghaus’s forgetting curve,"four deep-learning-based knowledge tracing models (DKT, DKVMN, AKT, and GKT) and apply the local xAI method Deep SHAP to interpret them","For experiment: A total of 67 students from two distinct classes and 51 teachers from local secondary schools were recruited for this study.

Propietary dataset.

For model's evaluaiton: ASSISTment dataset, which contained 682,223 exercise records from 14,657 learners across 100 skills",Math,"learner IDs, skill IDs of exercises, and learner response correctness","to analyze users' trust and knowledge data t-test and analysis of covariance (ANCOVA), Trust Measurement Tool",quantitative data on users' knowledge and trust levels,No,No,"Deep SHAP method, a local xAI approach, to interpret complex KT models","""For instance, it is important to ensure the fairness of the KT model across diverse demographics, such as countries or genders, and to address biases that might be present in educational data.""","""to conduct a comprehensive validation of the proposed trustworthy KT model across a variety of educational settings and contexts""",
11,10.1016/j.eswa.2024.123419,2024,Pull together: Option-weighting-enhanced mixture-of-experts knowledge tracing,Tao Huang; Xinjia Ou; Huali Yang; Shengze Hu; Jing Geng; Zhuoran Xu; Zongkai Yang,China,journal,EXPERT SYSTEMS WITH APPLICATIONS,"Option weighting scoring, Mixture-of-experts framework, Knowledge Tracing, Option Tracing, Attention mechanism","The objectives of the paper are to ""propose an option-weighting-enhanced mixture-of-experts knowledge tracing (WEKT)"" that ""assesses students’ knowledge levels by assigning weights to different answers"" and ""utilizes a mixture-of-experts framework to diagnose errors and enhance performance,""",no,"Option Weighting Theory, combines cognitive theories (DeVietti & Larson, 1971; Overton, 1964) with deep learning technology","the option-weighting-enhanced mixture-of-experts knowledge tracing (WEKT) model, which employs option weighting scoring with exercise difficulty adjustment, a mixture-of-experts framework with task-specific and task-common experts for predicting correctness and options, and an expert structure combining attention mechanisms, LSTM, and gating networks.","- EdNet-KT1: 100,000 students. 
- Eedi: 118,971 students. 
- ENEM: 10,000 records",Math and science,"- Exercise index
- Correct answer
- Response result (correctly or incorrectly) 
- Option chosen by the learner 
- Option weight","We randomly split the learners in each dataset so that 90% of them are used for training and 10% are used for final testing. During training, we further divide that 90% portion into (i) a training set (90% of the 90%) for updating model parameters and (ii) a validation set (10% of the 90%) for tuning hyperparameters and preventing overfitting.","AUC, ACC, RMSE","To tackle the issue of sparse educational data, the model employs comparative learning to identify similar or dissimilar examples from historical data.",No,No ,"Firstly, the model’s applicability is limited as it solely focuses on the multiple-choice testing scenario, failing to fully utilize the diversity of question types and lacking exploration of open-ended questions. Secondly, regarding student performance, the method only extends to a granular level of students’ response outcomes, overlooking potential performance information inherent in learning behaviors such as response speed, attempt frequency, and the use of hints.","""In the future, we will delve into more detailed aspects of students’ responses, such as analyzing specific response texts for open-ended questions to unearth partial knowledge of learners. This aims not only at predicting learners’ future response performance (whether correct or incorrect) but also at generating possible response texts from learners. Simultaneously, by enhancing the exploration of learning behaviors such as response speed, intervals between responses, and iterative answer revisions, there will be a finer granularity in modeling students’ learning processes, encompassing aspects of learning, forgetting, guessing, and error-making to investigate their impact on learners’ performance. Furthermore, with the advent of GPT-4, AI technology has undergone new breakthroughs. It is believed that the integration of Large Language Models (LLMs) with KT will become a focal point of future research in intelligent assessment (Kasneci et al., 2023). This integration may involve leveraging LLM to comprehend the intricate associations between questions in students’ responses or automatically generating appropriate exercises based on KT’s predictive outcomes.""",
12,10.1016/j.eswa.2023.122249,2024,Heterogeneous graph-based knowledge tracing with spatiotemporal evolution,Huali Yang; Shengze Hu; Jing Geng; Tao Huang; Junjie Hu; Hao Zhang; Qiang Zhu,China,journal,EXPERT SYSTEMS WITH APPLICATIONS,"Knowledge tracing,  Heterogeneous graph,  Knowledge construction,  Spatiotemporal evolution ","to propose TSKT, an innovative heterogeneous graph-based knowledge tracing method that traces knowledge state evolution along both temporal and spatial dimensions.",no,knowledge construction theory,"TSKT (Temporal-Spatial Knowledge Tracing), DKT (Deep Knowledge Tracing), DKVMN (Dynamic Key-Value Memory Networks), DKVMN-CA, GKT (Graph-based Knowledge Tracing), GIKT (Graph Interaction Knowledge Tracing), SGKT (Session Graph Knowledge Tracing), GRU (Gated Recurrent Unit)","- ""Assistments2009... Students 2,921"" - ""Assistments2015... Students 19,917"" - ""Eanalyst... Students 1,652""",Math,"text content of the exercise
knowledge concepts and exercise difficulty
three forgetting features such as sequence time intervals, intervals between repetitions, and past trial counts.","""In terms of the datasets, the training, validation, and test sets were split at a ratio of 7:2:1.""","AUC, ACC",No,"Via heatmaps (they call it ""thermodynamic diagramm)

""Furthermore, we observed that Knowledge concept 3 demonstrated a decreasing tendency of knowledge mastery over time owing to longterm inactivity, i.e., temporally updating the knowledge state. This result indicated that spatiotemporal dimensions had an influence on student knowledge states.""",No ,"""the construction of the heterogeneous graph of exercises depends on the multi-dimensional exercise features, and the spatiotemporal updating module also needs spatiotemporal response information. Considering that we cannot capture all these features in every scenario, this leads to the limitations in the generality and applicability of the TSKT model in various scenarios or datasets.""","""Therefore, we will further improve the general applicability and practical application of our model in future work, improving the application prospects of our TSKT model. On the one hand, we intend to leverage common features to reduce the demand for special features, thereby expanding the model’s suitability across various datasets. This endeavor will facilitate the widespread adoption of our model, extending its application within a broader educational landscape.""


""Of course, there are some important directions worth exploring in the future. First, we recognize the existence of diverse relationships and structure among exercises, knowledge concepts, and students, including predecessor and sibling relations of concept-concept (Song et al., 2021), exercise-concept associations (Song et al., 2022), and multi-level relationships of student-exercise-concept (Sun et al., 2022). Further consideration of these entity relationships can enhance knowledge representation and render the spatiotemporal update module more reasonable and explicable. Second, we aim to explore the incorporation of multimodal exercise features (e.g., drawings and formulas) (Yin et al., 2019) to capture more exercise information for comprehensive exercise representations.""",
13,10.1007/978-981-97-5678-0_17,2024,Deep Knowledge Tracking Integrating Programming Exercise Difficulty and Forgetting Factors,Dongqi Wang; Liping Zhang; Yubo Zhao; Yawen Zhang; Sheng Yan; Min Hou,China,conference,"ADVANCED IN℡LIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT VI, ICIC 2024",educational data mining · deep knowledge tracking · graph neural network · exercise difﬁculty · forgetting factors · programming,to propose a graph neural network-based deep knowledge tracing method that integrates programming problem difficulty and forgetting factors to enhance the predictive performance and interpretability of deep learning knowledge tracing.,no,"Cognitive Assimilation Theory,
laws of knowledge forgetting and learning described in theories of educational psychology","“This paper leverages GPT-3’s text processing power combined with six factors influencing programming problem difficulty to design an algorithm for analyzing programming problem difficulty.”
""paper represents the learners’ answer sequence data in the form of a graph structure and constructs the adjacency matrix",PTADataset with 195 learners,Programming,"- ""the number of words in the problem description"" 
- ""the number of words in the input format"" 
- ""the number of words in the output format"" 
- ""whether the problem is presented in English"" 
- ""whether the problem is described in a storytelling format"" 
- ""the correct answer rate""","""The dataset is divided, with 70% of the learners randomly selected for training GKT-DF, 20% of the learners chosen for validating GKT-DF, and the remaining 10% used for testing GKT-DF.""

""To minimize experimental errors, each model was trained 10 times with random initialization for each training.""","AUC, ROC, F1",No,"Via heatmaps

""improvements are not uniform, with occasional discontinuities due to factors like question difficulty and forgetting,  demonstrating the GKT-DF model’s ability to capture the complexity and diversity of the learning process.""","""To validate whether the introduced features influence changes in learners’ knowledge states, this study utilized SHAP (SHapley Additive exPlanations) values to quantify the contributions of the two features to the model output. Therefore, the integration of question difficulty and forgetting factors into the GNN-based model in this study has positively contributed to enhancing the model’s interpret ability.""",-,"""Future research will explore the following aspects. Firstly, while the dataset used in this paper involves relatively few knowledge points, the demands on computational resources and time remain within manageable ranges. Therefore, a key challenge in the next step of research will be how to effectively model comprehensive questions involving a large number of knowledge points. Secondly, the hierarchical relationships between knowledge points are diverse and complex, including but not limited to inclusion relationships, prior relationships, and posterior relationships. This paper constructs relationships between knowledge points using statistical methods, leaving room for improvement. In future research, we will further explore more accurate methods for constructing hierarchical relationships between knowledge points, which is also an important task to address in the future.""",
14,10.1007/s10639-023-12334-y,2024,Temporal learner modelling through integration of neural and symbolic architectures,Danial Hooshyar,Estonia,journal,EDUCATION AND INFORMATION TECHNOLOGIES,Neural-symbolic · Learner modelling · AI for education · Trustworthy  AI · Personalized learning,"""HMMs and pure LSTM methods, achieving high prediction accuracy by focusing on a smaller fraction of the training data. This research aims to build upon existing works by proposing an approach that injects educational knowledge into the loss function of neural architectures of autoencoders to augment the training data (in a way that meets with the essential educational restrictions) used for learning the dynamic Bayesian network conditional probability distributions, enhancing its the performance in the task of temporal learner modelling.""Therefore, the objective of the paper is to propose an approach that enhances temporal learner modelling by injecting educational knowledge into the loss function of autoencoders to augment training data for dynamic Bayesian networks.",Data availability restricted due to ethical concerns,Learner Modeling Concepts,"autoencoders and neural-symbolic AI for synthetic data generation, and developing dynamic Bayesian networks with parameters learned using expectation maximization.",339 participants from closed dataset,Computational thinking,"learners' use of the computational thinking concepts (conditional, loop, simulation, function, and debug) over a time window of 10 time steps","""In the validation stage, we employ k-fold cross-validation (using the validation set which contains 80% of the original dataset). This method is highly regarded for validating predictive models, particularly when the dataset is relatively small. We chose a value of k=10 based on empirical evidence that suggests it produces test error rate estimates that do not suffer from either excessive variance or high bias.","accuracy, precision, recall, and F1 score","paper addresses data inconsistency by filtering out missing records and incomplete solutions, data imbalance by using discretization and stratified sampling, and data sparsity by generating synthetic training data using autoencoders.","use of sensitivity analysis to evaluate how changes in input variables affect the model's predictions, thereby assessing prediction fluctuation.",No ,One limitation of this work is the lack of experimentation using different datasets and exploring various dynamic Bayesian network models,"""Future research can address this by testing the proposed TemporaLM approach on different educational tasks to enable temporal prediction of learner performance and identification of at-risk learners. Additionally, future work can focus on validations using multi-label predictions in dynamic Bayesian networks. Finally, it is desirable to integrate the TemporaLM-based learner modelling method into existing digital learning platforms and evaluate its effectiveness in real-world classrooms, providing personalized learning that is impartial, trustworthy, and interpretable.""",
15,10.3389/fpsyg.2022.846621,2022,A Knowledge Query Network Model Based on Rasch Model Embedding for Personalized Online Learning,Yan Cheng; Gang Wu; Haifeng Zou; Pin Luo; Zhuang Cai,China,journal,FRONTIERS IN PSYCHOLOGY,"personalized education, deep learning, knowledge tracking, forgetting behavior, interpretability.",The paper aims to develop and validate a “context-aware attentive knowledge query network (CAKQN) model” that combines flexible neural network components with psychometric-inspired interpretability for better prediction of learners’ future performance and personalization.,no,the Rasch model from psychometrics,"They propose and implement the CAKQN approach (using LSTM-based encoding, a monotonic attention mechanism with exponential decay, Rasch model embedding, and a dot-product knowledge query) trained via backpropagation on cross-entropy loss with the Adam optimizer.","• ASSISTments2009 with 4,151 learners, • ASSISTments2015 with 19,840 learners, • ASSISTments2017 with 1,709 learners, • Statics2011 with 333 learners","Math, statistics","They use each learner’s time-stepped interaction tuple containing the question ID, the knowledge component covered by that question, and whether the learner answered correctly (a binary response).","They perform five-fold cross-validation, splitting data into 60% training, 20% validation, and 20% test",AUC,No,"Heatmaps: ""within ten time steps after the learner correctly answered the exercises
containing knowledge point 24 at the first time step, CAKQN-Rnl did not update the learner’s mastery of knowledge point 24, while CAKQN-R showed that the degree of learner’s mastery of knowledge point 24 has been declining. It can be seen that the CAKQN-Rnl model does not consider the learner’s forgetting behavior during the learning period""",No ,(1) CAKQN uses binary variables… not suitable for subjective questions… (2) The adaptive capacity of the model needs to be improved… (3) …involving many other features… multi-modal learning analysis will become a new trend…,direction on personalized learning,
16,,2024,Interpretable Knowledge Tracing with Multiscale State Representation,J. Sun; F. Yu; Q. Wan; Q. Li; S. Liu; X. Shen,China,conference,WWW 2024 - Proceedings of the ACM Web Conference,"multiscale representation, knowledge tracing, interpretability, extended Rasch, forgetting",to combine coarse-grained domain knowledge state and fine-grained conceptual knowledge state into a single interpretable model that balances high performance with transparency in knowledge tracing.,no,"the Expanded Rasch Module, the Cognitive Thinking Module, the IRT Prediction Module, and the Cognitive Update Module.","Multiscale-state-based Interpretable Knowledge Tracing (MIKT), extended Rasch representation method, Item Response Theory (IRT) model, Adam optimization algorithm",",160 students from ASSIST09, and randomly selected 5,000 students each from ASSIST12, EdNet, and Eedi.",Math,"question identifiers, their associated concept(s), and the student's response correctness (0 or 1).",80% for training and 20% for testing,AUC,"Offer a model that ""Mitigates sparsity in student-concept interactions using contrastive learning.""","Heatmaps: ""As shown, when the student answers a
question correctly/incorrectly during practice, their mastery of the
question clearly strengthens/weakens. Moreover, as time goes by,
we find that the student gradually forget questions he/she have
previously mastered.""",No ,-,"lack of data parallelization, difficulty with noise data, and that the model’s question representation still depends on concepts, to explore transformer-based architectures and adversarial training in the future.",
17,,2024,DF-EGM: Personalised Knowledge Tracing with Dynamic Forgetting and Enhanced Gain Mechanisms,Hongyun Wang; Leilei Shi; ZiXuan Han; Lu Liu; Xiang Sun; Furqan Aziz,China,conference,"2024 International Conference on Networking, Sensing and Control (ICNSC)","Knowledge Tracing, Personalised Learning, Dynamic Forgetting, Enhanced Gain Mechanisms, Deep Learning",The paper aims to introduce a novel knowledge tracing model called DF-EGM that incorporates dynamic forgetting behaviors and personalized learning gains to more accurately track students' knowledge states.,no,"Item Response Theory (IRT), Knowledge forgetting theory","DF-EGM (Dynamic Forgetting and Enhanced Gain Mechanisms), Deep-IRT, CART (Classification and Regression Tree), DKT (Deep Knowledge Tracing), DKVMN (Dynamic Key-Value Memory Networks), SAKT (Self-Attentive Knowledge Tracing), AKT (Attentive Knowledge Tracing)","""ASSIST09 [...] includes 4151 students, 110 different knowledge concepts, and 325637 interaction records""; ""ASSIST12 [...] includes 25300 students, 245 knowledge concepts, and 879500 interaction records""; ""Algebra05 [...] includes 574 students, 437 knowledge concepts, and 809694 interaction records.""",Math,"student's historical sequence of responses (Xi={x1,x2,⋯,xi} where xi=(qi,ai)), response time, learning ability (calculated as ""the difference between the rates of correct and incorrect answers""), forgetting-related features (attempt count and time interval), and exercise embedding vectors.","""The dataset is randomly divided into training, validation, and test sets in an 8:1:1 ratio. The model training is conducted for 200 epochs, with an early stopping strategy employed.""","AUC, ACC",No,"Heatmaps: ""Upon observation, it is found that even though the student
answered incorrectly at time step 9, the mastery of the relevant
knowledge concept can be enhanced through practice""",No ,-,-,
18,,2020,Context-Aware Attentive Knowledge Tracing,Aritra Ghosh; Neil Heffernan; Andrew S. Lan; IEEE,USA,conference,KDD `20: PROCEEDINGS OF THE 26TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING,"Knowledge Tracing, Attention Mechanisms, Context-Aware Representations, Rasch Model, Interpretability","The paper aims to propose attentive knowledge tracing (AKT), which couples flexible attention-based neural network models with interpretable components inspired by cognitive and psychometric models to improve prediction of future learner performance while maintaining interpretability.",no,"Item Response Theory (IRT), Knowledge forgetting theory, Psychometric models","Attentive Knowledge Tracing (AKT), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMN), Self-Attentive Knowledge Tracing (SAKT), DKT+, DKVMN-R","Statics2011 (333 learners, 189,297 responses), ASSISTments2009 (4,151 learners, 325,637 responses), ASSISTments2015 (19,840 learners, 683,801 responses), and ASSISTments2017 (1,709 learners, 942,816 responses).",Math,"""Each learner's performance record consists of a sequence of questions and responses at each discrete time step. For learner i at time step t, we denote the combination of the question that they answered, the concept this question covers, and their graded response as a tuple, (qi_t, ci_t, ri_t), where qi_t ∈ N+ is the question index, ci_t ∈ N+ is the concept index, and ri_t ∈ {0, 1} is the response.""","""For evaluation purposes, we perform standard k-fold cross-validation (with k = 5) for all models and all datasets. Thus, for each fold, 20% learners are used as the test set, 20% are used as the validation set, and 60% are used as the training set.""",AUC,No,"Heatmaps: ""We see that AKT predicts their response to the current question by focusing more on previous practices on this concept (both in the immediate past and further back) than practices on another concept also in the immediate past. In the middle row, the learner switches to practicing on Concept 42 again.""",No ,-,"""Avenues of future work include i) incorporating question text to further enhance the interpretability of question and concept embeddings and ii) testing whether our method can improve prediction performance on language learning datasets where memory decay occurs.""",
19,,2022,Tracking knowledge proficiency of students with calibrated Q-matrix,Wentao Wang; Huifang Ma; Yan Zhao; Zhixin Li; Xiangchun He,China,journal,EXPERT SYSTEMS WITH APPLICATIONS,"Knowledge Tracing, Calibrated Q-matrix, High-order Connectivity, Graph Convolution Network, LSTM",to develop a Calibrated Q-matrix-based Knowledge Tracing (CQKT) framework to track students' knowledge proficiency by exploiting high-order connectivity between exercises and knowledge concepts while eliminating subjective bias in expert-defined Q-matrices.,no,"The paper references several educational theories including Item Response Theory (IRT) (""Deep-IRT combined this approach with Item Response Theory (IRT), improving the model's interpretability"" from section 2.1), Cognitive Diagnosis Models (CDMs) as a psychometric framework (""cognitive diagnosis models (CDMs) usually offer a psychometric framework with the help of Q-matrix"" from Introduction), and theories about knowledge forgetting behavior (implicitly referenced throughout the discussion of tracking changing knowledge states)."," three Q-matrix calibration methods (NCQC, CCQC, CCQCR) based on pairwise Bayesian treatment, and Long Short-Term Memory (LSTM) networks for tracking knowledge proficiency.","ASSISTment09 (4,163 students, 337,990 attempts), Intellilence18 (1,452 students, 256,612 attempts), and Bridge Algebra2006 (1,145 students, 1,817,016 attempts).",Math,"exercise embeddings based on Q-matrix (qt= eT_t × Q where et is one-hot encoding of exercise), students' response logs (xt = [qt, rt] where rt is student response correctness), and the calibrated Q-matrix values.","""We perform 80%/20% train/test split of each student's historical interactions and all the models are evaluated with 5-fold cross validation.""","Area Under the Curve of the ROC (AUC), Root Mean Square Error (RMSE) for score prediction (Section 5.3.1), and Degree of Agreement (DOA) for knowledge proficiency estimation (Section 5.3.2).","The authors propose a framework to calibrate the Q-matrix and reduce this bias: ""Then, three Q-matrix calibration methods based on a pairwise Bayesian treatment equipped with potential KCs are adopted to refine and calibrate the raw Q-matrix so that the subjective tendency of the Q-matrix defined by domain experts can be weakened.""","Heatmaps: ""From the figure, he continuously makes progress on Attributive Clause from T = 1 (0.28) to T = 30 (0.76), since
he practices the increasing number (e.g., 1, 3, 4, et al.) of exercises related to Attributive Clause during this period.""",No ,"""Three Q-matrix calibration methods are deeply entangled with the knowledge tracing model and fail to generalize on other KT model architectures"" and ""we solely exploit high-order connectivity between exercises and KCs, ignoring underlying semantic information contained in the student-exercise-KC interaction.""","they plan to make ""the model more flexible and mine latent semantic information"" and mention potential applications in ""recommendation of exercises to students towards their weakness.""",not deep learning model
